key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped	can_be_stolen	can_be_destroyed	faction_set
#ancillaries_tables;0;db/ancillaries_tables/zzz_cbfm_slaanesh_mount_permissions																												
wh3_dlc27_anc_mount_chs_cha_alluress_shadow_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_sla_cha_alluress_shadow_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_cha_alluress_slaanesh_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_sla_cha_alluress_slaanesh_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_cha_exalted_hero_msla_chaos_chariot	wh_main_anc_mount_chaos_chariot		false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_exalted_hero_msla_chaos_chariot		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_cha_exalted_hero_msla_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed		false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_exalted_hero_msla_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_cha_exalted_hero_msla_steed_of_slaanesh	wh3_main_anc_mount_steed_of_slaanesh		false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_exalted_hero_msla_chaos_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_cha_herald_of_slaanesh_shadow_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_sla_cha_herald_of_slaanesh_shadow_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_cha_herald_of_slaanesh_slaanesh_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_sla_cha_herald_of_slaanesh_slaanesh_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_chaos_lord_msla_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_chaos_lord_msla_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_chaos_sorcerer_shadows_msla_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_chaos_sorcerer_shadows_msla_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_chaos_sorcerer_slaanesh_msla_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_chaos_sorcerer_slaanesh_msla_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_sorcerer_lord_shadows_msla_chaos_steed	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_sorcerer_lord_shadows_msla_chaos_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_sorcerer_lord_shadows_msla_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_sorcerer_lord_shadows_msla_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_sorcerer_lord_shadows_msla_warshrine	wh_main_anc_mount_warshrine	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_sorcerer_lord_shadows_msla_warshrine		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_sorcerer_lord_slaanesh_msla_chaos_steed	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_sorcerer_lord_slaanesh_msla_chaos_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_sorcerer_lord_slaanesh_msla_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_sorcerer_lord_slaanesh_msla_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_chs_sorcerer_lord_slaanesh_msla_warshrine	wh_main_anc_mount_warshrine	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_chs_cha_sorcerer_lord_slaanesh_msla_warshrine		1	0		false	false	false	all
wh3_dlc27_anc_mount_sla_druchii_anointed_cold_one	wh2_main_anc_mount_cold_one	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_sla_cha_druchii_anointed_cold_one		1	0		false	false	false	all
wh3_dlc27_anc_mount_sla_druchii_anointed_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_sla_cha_druchii_anointed_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_sla_styrkaar_the_sortsvinaer_daemonic_steed	wh3_dlc27_anc_mount_daemonic_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_sla_cha_styrkaar_the_sortsvinaer_daemonic_steed		1	0		false	false	false	all
wh3_dlc27_anc_mount_sla_styrkaar_the_sortsvinaer_steed_of_slaanesh	wh3_main_anc_mount_steed_of_slaanesh	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh3_dlc27_sla_cha_styrkaar_the_sortsvinaer_steed_of_slaanesh		1	0		false	false	false	all
