ancillary	agent
#ancillary_to_included_agents_tables;0;db/ancillary_to_included_agents_tables/zzz_cbfm_fimir_noble_anc	
wh_dlc08_anc_follower_baernsonlings_werekin	runesmith
wh_dlc08_anc_follower_baernsonlings_berserker	runesmith
wh_dlc08_anc_follower_cathy_slave_dancers	runesmith
wh_dlc08_anc_follower_dragonbone_raiders	runesmith
wh_dlc08_anc_follower_kurgan_slave_merchant	runesmith
wh_dlc08_anc_follower_mammoth	runesmith
wh_dlc08_anc_follower_marauder_champion	runesmith
wh_dlc08_anc_follower_mountain_scout	runesmith
wh_dlc08_anc_follower_seer	runesmith
wh_dlc08_anc_follower_skaeling_trader	runesmith
wh_dlc08_anc_follower_slave_worker	runesmith
wh_dlc08_anc_follower_vargs_beast_trainer	runesmith
wh_dlc08_anc_follower_whalers	runesmith
