banner	unit_set
#banners_permitted_unit_sets_tables;0;db/banners_permitted_unit_sets_tables/zzz_cbfm_dorfrunes	
wh_main_banner_rune_ancestor_rune	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_battle	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_courage	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_groth_one-eye	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_grungni	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_sanctuary	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_slowness	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_stoicism	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_stromni_redbeard	dlc14_all_units_excluding_characters
wh_main_banner_rune_master_rune_of_valaya	dlc14_all_units_excluding_characters
wh_main_banner_rune_strollaz_rune	dlc14_all_units_excluding_characters
