key	man_animations_table	variant	battle_entity	battle_entity_stats	autonomous_rider_hero	autonomous_rider_can_shoot_in_melee	can_only_be_used_by_draught
#battle_personalities_tables;12;db/battle_personalities_tables/zzz_cbfm_muzzle_smoke_gunners							
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_foredeck_left_1	hu1_dlc25_wm_landship02_foredeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_foredeck_left_2	hu1_dlc25_wm_landship02_foredeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_foredeck_left_3	hu1_dlc25_wm_landship02_foredeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_foredeck_right_1	hu1_dlc25_wm_landship02_foredeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_foredeck_right_2	hu1_dlc25_wm_landship02_foredeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_foredeck_right_3	hu1_dlc25_wm_landship02_foredeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_maindeck_left_0	hu1_dlc25_wm_landship02_maindeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_maindeck_right_0	hu1_dlc25_wm_landship02_maindeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_poopdeck_left_0	hu1_dlc25_wm_landship02_poopdeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
