base_battlefield_building	battlefield_building_logic	settlement_level
#battlefield_building_to_settlement_levels_tables;2;db/battlefield_building_to_settlement_levels_tables/zzz_towers		
brt_wall_tower	brt_wall_tower	0
brt_wall_tower	brt_wall_tower	1
brt_wall_tower	brt_wall_tower_01	2
brt_wall_tower	brt_wall_tower_02	3
brt_wall_tower	brt_wall_tower_03	4
brt_wall_tower	brt_wall_tower_03	5
chs_wall_tower	chs_wall_tower	0
chs_wall_tower	chs_wall_tower	1
chs_wall_tower	chs_wall_tower_01	2
chs_wall_tower	chs_wall_tower_02	3
chs_wall_tower	chs_wall_tower_03	4
chs_wall_tower	chs_wall_tower_03	5
cth_wall_tower	cth_wall_tower	0
cth_wall_tower	cth_wall_tower	1
cth_wall_tower	cth_wall_tower_01	2
cth_wall_tower	cth_wall_tower_02	3
cth_wall_tower	cth_wall_tower_03	4
cth_wall_tower	cth_wall_tower_03	5
def_wall_tower	def_wall_tower	0
def_wall_tower	def_wall_tower	1
def_wall_tower	def_wall_tower_01	2
def_wall_tower	def_wall_tower_02	3
def_wall_tower	def_wall_tower_03	4
def_wall_tower	def_wall_tower_03	5
dwf_wall_tower	dwf_wall_tower	0
dwf_wall_tower	dwf_wall_tower	1
dwf_wall_tower	dwf_wall_tower_01	2
dwf_wall_tower	dwf_wall_tower_02	3
dwf_wall_tower	dwf_wall_tower_03	4
dwf_wall_tower	dwf_wall_tower_03	5
emp_wall_tower	emp_wall_tower	0
emp_wall_tower	emp_wall_tower	1
emp_wall_tower	emp_wall_tower_01	2
emp_wall_tower	emp_wall_tower_02	3
emp_wall_tower	emp_wall_tower_03	4
emp_wall_tower	emp_wall_tower_03	5
grn_wall_tower	grn_wall_tower	0
grn_wall_tower	grn_wall_tower	1
grn_wall_tower	grn_wall_tower_01	2
grn_wall_tower	grn_wall_tower_02	3
grn_wall_tower	grn_wall_tower_03	4
grn_wall_tower	grn_wall_tower_03	5
hef_wall_tower	hef_wall_tower	0
hef_wall_tower	hef_wall_tower	1
hef_wall_tower	hef_wall_tower_01	2
hef_wall_tower	hef_wall_tower_02	3
hef_wall_tower	hef_wall_tower_03	4
hef_wall_tower	hef_wall_tower_03	5
kho_wall_tower	kho_wall_tower	0
kho_wall_tower	kho_wall_tower	1
kho_wall_tower	kho_wall_tower_01	2
kho_wall_tower	kho_wall_tower_02	3
kho_wall_tower	kho_wall_tower_03	4
kho_wall_tower	kho_wall_tower_03	5
ksl_wall_tower	ksl_wall_tower	0
ksl_wall_tower	ksl_wall_tower	1
ksl_wall_tower	ksl_wall_tower_01	2
ksl_wall_tower	ksl_wall_tower_02	3
ksl_wall_tower	ksl_wall_tower_03	4
ksl_wall_tower	ksl_wall_tower_03	5
lzd_wall_tower	lzd_wall_tower	0
lzd_wall_tower	lzd_wall_tower	1
lzd_wall_tower	lzd_wall_tower_01	2
lzd_wall_tower	lzd_wall_tower_02	3
lzd_wall_tower	lzd_wall_tower_03	4
lzd_wall_tower	lzd_wall_tower_03	5
mrb_wall_tower	mrb_wall_tower	0
mrb_wall_tower	mrb_wall_tower	1
mrb_wall_tower	mrb_wall_tower_01	2
mrb_wall_tower	mrb_wall_tower_02	3
mrb_wall_tower	mrb_wall_tower_03	4
mrb_wall_tower	mrb_wall_tower_03	5
nur_wall_tower	nur_wall_tower	0
nur_wall_tower	nur_wall_tower	1
nur_wall_tower	nur_wall_tower_01	2
nur_wall_tower	nur_wall_tower_02	3
nur_wall_tower	nur_wall_tower_03	4
nur_wall_tower	nur_wall_tower_03	5
skv_wall_tower	skv_wall_tower	0
skv_wall_tower	skv_wall_tower	1
skv_wall_tower	skv_wall_tower_01	2
skv_wall_tower	skv_wall_tower_02	3
skv_wall_tower	skv_wall_tower_03	4
skv_wall_tower	skv_wall_tower_03	5
sla_wall_tower	sla_wall_tower	0
sla_wall_tower	sla_wall_tower	1
sla_wall_tower	sla_wall_tower_01	2
sla_wall_tower	sla_wall_tower_02	3
sla_wall_tower	sla_wall_tower_03	4
sla_wall_tower	sla_wall_tower_03	5
tmb_wall_tower	tmb_wall_tower	0
tmb_wall_tower	tmb_wall_tower	1
tmb_wall_tower	tmb_wall_tower_01	2
tmb_wall_tower	tmb_wall_tower_02	3
tmb_wall_tower	tmb_wall_tower_03	4
tmb_wall_tower	tmb_wall_tower_03	5
tze_wall_tower	tze_wall_tower	0
tze_wall_tower	tze_wall_tower	1
tze_wall_tower	tze_wall_tower_01	2
tze_wall_tower	tze_wall_tower_02	3
tze_wall_tower	tze_wall_tower_03	4
tze_wall_tower	tze_wall_tower_03	5
vmp_wall_tower	vmp_wall_tower	0
vmp_wall_tower	vmp_wall_tower	1
vmp_wall_tower	vmp_wall_tower_01	2
vmp_wall_tower	vmp_wall_tower_02	3
vmp_wall_tower	vmp_wall_tower_03	4
vmp_wall_tower	vmp_wall_tower_03	5
