building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/zzz_cbfm_6_3_1_update						
wh2_dlc13_horde_lizardmen_support_rrank_2	wh3_main_effect_pooled_resource_sacred_spawning_add_buildings		faction_to_faction_own_unseen	25.0000	25.0000	0.0000
wh2_dlc17_silent_sanctum_core_0	building_upkeep		building_to_faction_own	5.0000	5.0000	0.0000
wh2_dlc17_silent_sanctum_core_1	building_upkeep		building_to_faction_own	10.0000	10.0000	0.0000
wh2_main_lzd_energy_3	wh3_main_effect_pooled_resource_sacred_spawning_add_buildings	IsFactionNotRitual	building_to_faction_own	10.0000	5.0000	0.0000
wh2_main_lzd_energy_4	wh3_main_effect_pooled_resource_sacred_spawning_add_buildings	IsFactionNotRitual	building_to_faction_own	25.0000	10.0000	0.0000
wh2_main_lzd_energy_5	wh3_main_effect_pooled_resource_sacred_spawning_add_buildings	IsFactionNotRitual	building_to_faction_own	50.0000	25.0000	0.0000
wh2_main_lzd_terradons_2_tiktakto	wh3_main_effect_pooled_resource_sacred_spawning_add_buildings		building_to_faction_own	10.0000	10.0000	0.0000
wh3_dlc20_woc_chaos_altar_replenishment_1	wh3_main_effect_winds_of_magic_pool_cap		building_to_force_own_in_province_own	20.0000	10.0000	0.0000
wh3_main_minor_cult_purple_hand_1	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruption50	foreign_building_to_host_faction	50.0000	50.0000	0.0000
wh3_main_minor_cult_purple_hand_1	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruptionLessThan50	foreign_building_to_host_faction	10.0000	10.0000	0.0000
wh3_main_minor_cult_purple_hand_2	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruption50	foreign_building_to_host_faction	50.0000	50.0000	0.0000
wh3_main_minor_cult_purple_hand_2	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruptionLessThan50	foreign_building_to_host_faction	10.0000	10.0000	0.0000
wh3_main_minor_cult_purple_hand_3	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruption50	foreign_building_to_host_faction	50.0000	50.0000	0.0000
wh3_main_minor_cult_purple_hand_3	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruptionLessThan50	foreign_building_to_host_faction	10.0000	10.0000	0.0000
wh3_main_minor_cult_purple_hand_4	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruption50	foreign_building_to_host_faction	50.0000	50.0000	0.0000
wh3_main_minor_cult_purple_hand_4	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruptionLessThan50	foreign_building_to_host_faction	10.0000	10.0000	0.0000
wh3_main_minor_cult_purple_hand_5	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruption50	foreign_building_to_host_faction	50.0000	50.0000	0.0000
wh3_main_minor_cult_purple_hand_5	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruptionLessThan50	foreign_building_to_host_faction	10.0000	10.0000	0.0000
wh3_main_minor_cult_purple_hand_6	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruption50	foreign_building_to_host_faction	50.0000	50.0000	0.0000
wh3_main_minor_cult_purple_hand_6	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruptionLessThan50	foreign_building_to_host_faction	10.0000	10.0000	0.0000
wh3_main_minor_cult_purple_hand_7	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruption50	foreign_building_to_host_faction	50.0000	50.0000	0.0000
wh3_main_minor_cult_purple_hand_7	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruptionLessThan50	foreign_building_to_host_faction	10.0000	10.0000	0.0000
wh3_main_minor_cult_purple_hand_8	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruption50	foreign_building_to_host_faction	50.0000	50.0000	0.0000
wh3_main_minor_cult_purple_hand_8	wh3_main_minor_cults_purple_hand_spreading_dummy	TzeentchCorruptionLessThan50	foreign_building_to_host_faction	10.0000	10.0000	0.0000
