building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/zzz_cbfm_beastmen_herdstones						
wh2_dlc17_bst_special_settlement_hexoatl_1	wh3_main_effect_winds_of_magic_pool_cap		building_to_force_own_factionwide	1.0000	1.0000	0.0000
wh2_dlc17_bst_special_settlement_hexoatl_2	wh3_main_effect_winds_of_magic_pool_cap		building_to_force_own_factionwide	2.0000	1.0000	0.0000
wh2_dlc17_bst_special_settlement_hexoatl_3	wh3_main_effect_winds_of_magic_pool_cap		building_to_force_own_factionwide	3.0000	1.0000	0.0000
wh2_dlc17_bst_special_settlement_hexoatl_4	wh3_main_effect_winds_of_magic_pool_cap		building_to_force_own_factionwide	4.0000	1.0000	0.0000
wh2_dlc17_bst_special_settlement_hexoatl_5	wh3_main_effect_winds_of_magic_pool_cap		building_to_force_own_factionwide	5.0000	1.0000	0.0000
wh2_dlc17_bst_special_settlement_kislev_1	wh2_dlc14_effect_magic_cost_all_lores_percentage		building_to_force_own_factionwide	-2.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_kislev_1	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_kislev_2	wh2_dlc14_effect_magic_cost_all_lores_percentage		building_to_force_own_factionwide	-4.0000	-2.0000	0.0000
wh2_dlc17_bst_special_settlement_kislev_2	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_kislev_3	wh2_dlc14_effect_magic_cost_all_lores_percentage		building_to_force_own_factionwide	-6.0000	-3.0000	0.0000
wh2_dlc17_bst_special_settlement_kislev_3	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_kislev_4	wh2_dlc14_effect_magic_cost_all_lores_percentage		building_to_force_own_factionwide	-8.0000	-4.0000	0.0000
wh2_dlc17_bst_special_settlement_kislev_4	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_wei_jin_1	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_wei_jin_1	wh_main_effect_force_stat_speed		building_to_force_own_factionwide	1.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_wei_jin_2	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_wei_jin_2	wh_main_effect_force_stat_speed		building_to_force_own_factionwide	3.0000	2.0000	0.0000
wh2_dlc17_bst_special_settlement_wei_jin_3	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_wei_jin_3	wh_main_effect_force_stat_speed		building_to_force_own_factionwide	5.0000	3.0000	0.0000
wh2_dlc17_bst_special_settlement_wei_jin_4	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_wei_jin_4	wh_main_effect_force_stat_speed		building_to_force_own_factionwide	6.0000	4.0000	0.0000
wh2_dlc17_bst_special_settlement_zharr_naggrund_1	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_zharr_naggrund_1	wh_main_effect_force_stat_missile_damage		building_to_force_own_factionwide	2.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_zharr_naggrund_2	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_zharr_naggrund_2	wh_main_effect_force_stat_missile_damage		building_to_force_own_factionwide	4.0000	2.0000	0.0000
wh2_dlc17_bst_special_settlement_zharr_naggrund_3	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_zharr_naggrund_3	wh_main_effect_force_stat_missile_damage		building_to_force_own_factionwide	6.0000	3.0000	0.0000
wh2_dlc17_bst_special_settlement_zharr_naggrund_4	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen		building_to_force_own_factionwide	0.0000	0.0000	0.0000
wh2_dlc17_bst_special_settlement_zharr_naggrund_4	wh_main_effect_force_stat_missile_damage		building_to_force_own_factionwide	8.0000	4.0000	0.0000
