building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/zzz_cbfm_corruption_per_province						
wh2_dlc11_special_cylostra_opera_house_1	wh3_main_effect_corruption_vampiric_buildings		faction_to_province_own	1.0000	1.0000	0.0000
wh2_main_special_drakenhof_court	wh3_main_effect_corruption_vampiric_buildings		faction_to_province_own	1.0000	1.0000	0.0000
wh3_main_special_desecrated_grove_2	wh3_main_effect_corruption_vampiric_buildings		faction_to_province_own	1.0000	1.0000	0.0000
wh3_dlc20_woc_resource_gold_1	wh3_main_effect_corruption_chaos_buildings	IsNotChampionsOrSigvaldFaction	faction_to_province_own	2.0000	1.0000	0.0000
wh3_dlc20_woc_resource_gold_1	wh3_main_effect_corruption_khorne_buildings	IsFactionValkia	faction_to_province_own	2.0000	1.0000	0.0000
wh3_dlc20_woc_resource_gold_1	wh3_main_effect_corruption_nurgle_buildings	IsFactionFestus	faction_to_province_own	2.0000	1.0000	0.0000
wh3_dlc20_woc_resource_gold_1	wh3_main_effect_corruption_slaanesh_buildings	IsFactionAzazelOrSigvald	faction_to_province_own	2.0000	1.0000	0.0000
wh3_dlc20_woc_resource_gold_1	wh3_main_effect_corruption_tzeentch_buildings	IsFactionVilitch	faction_to_province_own	2.0000	1.0000	0.0000
wh2_main_special_skavenblight_council13	wh3_main_effect_corruption_reduction_buildings		faction_to_province_own	-1.0000	-1.0000	0.0000
wh_dlc05_wef_oak_of_ages_5	wh3_main_effect_corruption_reduction_buildings		faction_to_province_own	-12.0000	-6.0000	0.0000
wh_main_brt_legendary_enchantress_tower	wh3_main_effect_corruption_reduction_buildings		faction_to_province_own	-2.0000	-1.0000	0.0000
wh2_main_special_har_ganeth_temple_of_khaine_1_hef	wh3_main_effect_corruption_reduction_buildings		faction_to_province_own	-1.0000	-1.0000	0.0000
wh2_main_special_har_ganeth_temple_of_khaine_1	wh3_main_effect_corruption_reduction_buildings		faction_to_province_own	-1.0000	-1.0000	0.0000
wh2_main_special_tlaxtlan_temple_of_the_eclipse	wh3_main_effect_corruption_reduction_buildings		faction_to_province_own	-1.0000	-1.0000	0.0000
