building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/zzz_cbfm_damaged_building_effects						
wh2_main_special_ghrond_dungeon_skv_moulder_1	wh2_main_effect_tech_unit_xp_levels_skv_ratogres_hellpit		province_to_province_own	2.0000	1.0000	0.0000
wh2_main_special_hellpit_pits_moulder_1	wh2_main_effect_tech_unit_xp_levels_skv_ratogres_hellpit		province_to_province_own	2.0000	1.0000	0.0000
wh2_main_special_hellpit_pits	wh2_main_effect_tech_unit_xp_levels_skv_ratogres_hellpit		province_to_province_own	2.0000	1.0000	0.0000
wh3_main_cth_bastion_3_1	wh_main_effect_force_stat_ammunition_siege_defence		region_to_force_own	25.0000	20.0000	0.0000
wh3_main_cth_bastion_primary_5	wh3_main_faction_political_diplomacy_mod_confederation_cathay		faction_to_faction_own_unseen	10.0000	2.0000	0.0000
wh3_main_sla_cult_3	wh3_main_effect_pooled_resource_seductive_influence_cult	PublicOrderGreaterThan50	foreign_building_to_host_faction	7.0000	3.0000	0.0000
wh3_prologue_building_ksl_ammunition_1	wh_main_effect_force_stat_ammunition		faction_to_force_own	10.0000	3.0000	0.0000
wh3_prologue_building_ksl_ammunition_2	wh_main_effect_force_stat_ammunition		faction_to_force_own	15.0000	5.0000	0.0000
wh3_prologue_building_ksl_ammunition_3	wh_main_effect_force_stat_ammunition		faction_to_force_own	25.0000	10.0000	0.0000
wh3_prologue_ksl_building_second_growth_4	wh3_main_effect_force_recruit_rank_ksl_infantry_mounted		province_to_faction	2.0000	1.0000	0.0000
wh_dlc25_dwf_engineer_4	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	15.0000	5.0000	0.0000
wh_main_dwf_engineer_2	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	4.0000	3.0000	0.0000
wh_main_dwf_engineer_3	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	6.0000	4.0000	0.0000
wh_main_dwf_smith_2	wh_main_effect_unit_recruitment_points		province_to_province_own	2.0000	1.0000	0.0000
wh_main_dwf_smith_4	wh_main_effect_agent_recruitment_xp_runesmith		province_to_province_own	3.0000	2.0000	0.0000
wh_main_dwf_smith_4	wh_main_effect_force_army_campaign_recruitment_points		province_to_faction_unseen	2.0000	1.0000	0.0000
wh_main_dwf_smith_4	wh_main_effect_unit_recruitment_points		province_to_province_own	3.0000	2.0000	0.0000
wh3_main_ksl_erengrad_city_2	wh_main_effect_construction_slot_multiple_dummy		this_building	3.0000	3.0000	3.0000
wh3_main_ksl_erengrad_city_3	wh_main_effect_construction_slot_multiple_dummy		this_building	5.0000	5.0000	5.0000
wh3_main_ksl_kislev_city_2	wh_main_effect_construction_slot_multiple_dummy		this_building	3.0000	3.0000	3.0000
wh3_main_ksl_kislev_city_3	wh_main_effect_construction_slot_multiple_dummy		this_building	5.0000	5.0000	5.0000
wh3_main_ksl_praag_city_2	wh_main_effect_construction_slot_multiple_dummy		this_building	3.0000	3.0000	3.0000
wh3_main_ksl_praag_city_3	wh_main_effect_construction_slot_multiple_dummy		this_building	5.0000	5.0000	5.0000
wh_dlc05_special_settlement_gaean_vale_3_wef	wh_main_effect_construction_slot_multiple_dummy		this_building	6.0000	6.0000	6.0000
wh_dlc05_special_settlement_gaean_vale_4_wef	wh_main_effect_construction_slot_multiple_dummy		this_building	8.0000	8.0000	8.0000
wh_dlc05_special_settlement_gaean_vale_5_wef	wh_main_effect_construction_slot_multiple_dummy		this_building	9.0000	9.0000	9.0000
wh_dlc05_wef_settlement_major_main_3	wh_main_effect_construction_slot_multiple_dummy		this_building	6.0000	6.0000	6.0000
wh_dlc05_wef_settlement_major_main_4	wh_main_effect_construction_slot_multiple_dummy		this_building	8.0000	8.0000	8.0000
wh_main_special_settlement_wei_jin_2	wh_main_effect_construction_slot_multiple_dummy		this_building	3.0000	3.0000	3.0000
wh_main_special_settlement_wei_jin_3	wh_main_effect_construction_slot_multiple_dummy		this_building	5.0000	5.0000	5.0000
