building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/zzz_cbfm_tk_and_bm_allied_unit_caps						
wh3_main_tmb_allied_outpost_1	wh2_dlc09_effect_unit_cap_tmb_cav_necropolis_knights_0		foreign_building_to_host_faction	2.0	2.0	2.0
wh3_main_tmb_allied_outpost_1	wh2_dlc09_effect_unit_cap_tmb_inf_skeleton_archers_0		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_tmb_allied_outpost_1	wh2_dlc09_effect_unit_cap_tmb_inf_tomb_guard_1		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_tmb_allied_outpost_1	wh2_dlc09_effect_unit_cap_tmb_mon_tomb_scorpion_0		foreign_building_to_host_faction	1.0	1.0	1.0
wh3_main_tmb_allied_outpost_1	wh2_dlc09_effect_unit_cap_tmb_mon_ushabti_0		foreign_building_to_host_faction	2.0	2.0	2.0
wh3_main_tmb_allied_outpost_2	wh2_dlc09_effect_unit_cap_tmb_cav_necropolis_knights_0		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_tmb_allied_outpost_2	wh2_dlc09_effect_unit_cap_tmb_inf_skeleton_archers_0		foreign_building_to_host_faction	8.0	8.0	8.0
wh3_main_tmb_allied_outpost_2	wh2_dlc09_effect_unit_cap_tmb_inf_tomb_guard_1		foreign_building_to_host_faction	8.0	8.0	8.0
wh3_main_tmb_allied_outpost_2	wh2_dlc09_effect_unit_cap_tmb_mon_tomb_scorpion_0		foreign_building_to_host_faction	2.0	2.0	2.0
wh3_main_tmb_allied_outpost_2	wh2_dlc09_effect_unit_cap_tmb_mon_ushabti_0		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_tmb_allied_outpost_3	wh2_dlc09_effect_unit_cap_tmb_cav_necropolis_knights_0		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_tmb_allied_outpost_3	wh2_dlc09_effect_unit_cap_tmb_inf_skeleton_archers_0		foreign_building_to_host_faction	8.0	8.0	8.0
wh3_main_tmb_allied_outpost_3	wh2_dlc09_effect_unit_cap_tmb_inf_tomb_guard_1		foreign_building_to_host_faction	8.0	8.0	8.0
wh3_main_tmb_allied_outpost_3	wh2_dlc09_effect_unit_cap_tmb_mon_tomb_scorpion_0		foreign_building_to_host_faction	2.0	2.0	2.0
wh3_main_tmb_allied_outpost_3	wh2_dlc09_effect_unit_cap_tmb_mon_ushabti_0		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_bst_allied_outpost_1	wh2_dlc17_effect_unit_cap_razorgor_chariots		foreign_building_to_host_faction	2.0	2.0	2.0
wh3_main_bst_allied_outpost_1	wh2_dlc17_effect_unit_cap_centigors_throwing_axes		foreign_building_to_host_faction	2.0	2.0	2.0
wh3_main_bst_allied_outpost_1	wh2_dlc17_effect_unit_cap_cygor		foreign_building_to_host_faction	1.0	1.0	1.0
wh3_main_bst_allied_outpost_1	wh2_dlc17_effect_unit_cap_gor_herd		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_bst_allied_outpost_1	wh2_dlc17_effect_unit_cap_bst_minotaurs		foreign_building_to_host_faction	2.0	2.0	2.0
wh3_main_bst_allied_outpost_2	wh2_dlc17_effect_unit_cap_razorgor_chariots		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_bst_allied_outpost_2	wh2_dlc17_effect_unit_cap_centigors_throwing_axes		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_bst_allied_outpost_2	wh2_dlc17_effect_unit_cap_cygor		foreign_building_to_host_faction	2.0	2.0	2.0
wh3_main_bst_allied_outpost_2	wh2_dlc17_effect_unit_cap_gor_herd		foreign_building_to_host_faction	8.0	8.0	8.0
wh3_main_bst_allied_outpost_2	wh2_dlc17_effect_unit_cap_bst_minotaurs		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_bst_allied_outpost_3	wh2_dlc17_effect_unit_cap_razorgor_chariots		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_bst_allied_outpost_3	wh2_dlc17_effect_unit_cap_centigors_throwing_axes		foreign_building_to_host_faction	4.0	4.0	4.0
wh3_main_bst_allied_outpost_3	wh2_dlc17_effect_unit_cap_cygor		foreign_building_to_host_faction	2.0	2.0	2.0
wh3_main_bst_allied_outpost_3	wh2_dlc17_effect_unit_cap_gor_herd		foreign_building_to_host_faction	8.0	8.0	8.0
wh3_main_bst_allied_outpost_3	wh2_dlc17_effect_unit_cap_bst_minotaurs		foreign_building_to_host_faction	4.0	4.0	4.0
