building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/zzz_walls						
wh_main_dwf_settlement_major_ruin	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	0.0000	0.0000	0.0000
wh2_main_special_settlement_hellpit_1	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh2_main_special_settlement_hellpit_2	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh2_main_special_settlement_hellpit_3	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh2_main_special_settlement_hellpit_4	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh2_main_special_settlement_hellpit_5	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh3_main_kho_settlement_major_1_a	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh3_main_kho_settlement_major_2_a	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh3_main_kho_settlement_major_3_a	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh3_main_kho_settlement_major_4_a	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh3_main_kho_settlement_major_5_a	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh3_main_sla_settlement_major_1_a	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh3_main_sla_settlement_major_2_a	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh3_main_sla_settlement_major_3_a	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh3_main_sla_settlement_major_4_a	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh3_main_sla_settlement_major_5_a	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh_main_special_settlement_black_crag_1_dwf	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh_main_special_settlement_black_crag_1_grn	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh_main_special_settlement_black_crag_2_dwf	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh_main_special_settlement_black_crag_2_grn	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh_main_special_settlement_black_crag_3_dwf	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh_main_special_settlement_black_crag_4_dwf	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh_main_special_settlement_black_crag_4_grn	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh_main_special_settlement_black_crag_5_dwf	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
wh_main_special_settlement_black_crag_5_grn	wh_main_effect_settlement_walls	WallEffect	region_to_region_own	1.0000	1.0000	1.0000
