id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/zzz_cbfm_ogrwelf_gate_garr		
995232917	wh2_main_special_empire_fort_untainted_1	wh_dlc05_wef_defence_major_1
995232918	wh2_main_special_empire_fort_untainted_1	wh3_main_ogr_settlement_major_1
995232919	wh2_main_special_empire_fort_untainted_2	wh_dlc05_wef_defence_major_1
995232920	wh2_main_special_empire_fort_untainted_2	wh3_main_ogr_settlement_major_2
995232921	wh2_main_special_empire_fort_untainted_3	wh_dlc05_wef_defence_major_1
995232922	wh2_main_special_empire_fort_untainted_3	wh3_main_ogr_settlement_major_3
995232923	wh2_main_special_empire_fort_untainted_4	wh_dlc05_wef_defence_major_1
995232924	wh2_main_special_empire_fort_untainted_4	wh3_main_ogr_settlement_major_3
995232925	wh2_main_special_empire_fort_untainted_5	wh_dlc05_wef_defence_major_1
995232926	wh2_main_special_empire_fort_untainted_5	wh3_main_ogr_settlement_major_3
995232927	wh2_main_special_fortress_gate_eagle_untainted_1	wh_dlc05_wef_defence_major_1
995232928	wh2_main_special_fortress_gate_eagle_untainted_1	wh3_main_ogr_settlement_major_1
995232929	wh2_main_special_fortress_gate_eagle_untainted_2	wh_dlc05_wef_defence_major_1
995232930	wh2_main_special_fortress_gate_eagle_untainted_2	wh3_main_ogr_settlement_major_2
995232931	wh2_main_special_fortress_gate_eagle_untainted_3	wh_dlc05_wef_defence_major_1
995232932	wh2_main_special_fortress_gate_eagle_untainted_3	wh3_main_ogr_settlement_major_3
995232933	wh2_main_special_fortress_gate_eagle_untainted_4	wh_dlc05_wef_defence_major_1
995232934	wh2_main_special_fortress_gate_eagle_untainted_4	wh3_main_ogr_settlement_major_3
995232935	wh2_main_special_fortress_gate_eagle_untainted_5	wh_dlc05_wef_defence_major_1
995232936	wh2_main_special_fortress_gate_eagle_untainted_5	wh3_main_ogr_settlement_major_3
995232937	wh2_main_special_fortress_gate_griffon_untainted_1	wh_dlc05_wef_defence_major_1
995232938	wh2_main_special_fortress_gate_griffon_untainted_1	wh3_main_ogr_settlement_major_1
995232939	wh2_main_special_fortress_gate_griffon_untainted_2	wh_dlc05_wef_defence_major_1
995232940	wh2_main_special_fortress_gate_griffon_untainted_2	wh3_main_ogr_settlement_major_2
995232941	wh2_main_special_fortress_gate_griffon_untainted_3	wh_dlc05_wef_defence_major_1
995232942	wh2_main_special_fortress_gate_griffon_untainted_3	wh3_main_ogr_settlement_major_3
995232943	wh2_main_special_fortress_gate_griffon_untainted_4	wh_dlc05_wef_defence_major_1
995232944	wh2_main_special_fortress_gate_griffon_untainted_4	wh3_main_ogr_settlement_major_3
995232945	wh2_main_special_fortress_gate_griffon_untainted_5	wh_dlc05_wef_defence_major_1
995232946	wh2_main_special_fortress_gate_griffon_untainted_5	wh3_main_ogr_settlement_major_3
995232947	wh2_main_special_fortress_gate_phoenix_untainted_1	wh_dlc05_wef_defence_major_1
995232948	wh2_main_special_fortress_gate_phoenix_untainted_1	wh3_main_ogr_settlement_major_1
995232949	wh2_main_special_fortress_gate_phoenix_untainted_2	wh_dlc05_wef_defence_major_1
995232950	wh2_main_special_fortress_gate_phoenix_untainted_2	wh3_main_ogr_settlement_major_2
995232951	wh2_main_special_fortress_gate_phoenix_untainted_3	wh_dlc05_wef_defence_major_1
995232952	wh2_main_special_fortress_gate_phoenix_untainted_3	wh3_main_ogr_settlement_major_3
995232953	wh2_main_special_fortress_gate_phoenix_untainted_4	wh_dlc05_wef_defence_major_1
995232954	wh2_main_special_fortress_gate_phoenix_untainted_4	wh3_main_ogr_settlement_major_3
995232955	wh2_main_special_fortress_gate_phoenix_untainted_5	wh_dlc05_wef_defence_major_1
995232956	wh2_main_special_fortress_gate_phoenix_untainted_5	wh3_main_ogr_settlement_major_3
995232957	wh2_main_special_fortress_gate_unicorn_untainted_1	wh_dlc05_wef_defence_major_1
995232958	wh2_main_special_fortress_gate_unicorn_untainted_1	wh3_main_ogr_settlement_major_1
995232959	wh2_main_special_fortress_gate_unicorn_untainted_2	wh_dlc05_wef_defence_major_1
995232960	wh2_main_special_fortress_gate_unicorn_untainted_2	wh3_main_ogr_settlement_major_2
995232961	wh2_main_special_fortress_gate_unicorn_untainted_3	wh_dlc05_wef_defence_major_1
995232962	wh2_main_special_fortress_gate_unicorn_untainted_3	wh3_main_ogr_settlement_major_3
995232963	wh2_main_special_fortress_gate_unicorn_untainted_4	wh_dlc05_wef_defence_major_1
995232964	wh2_main_special_fortress_gate_unicorn_untainted_4	wh3_main_ogr_settlement_major_3
995232965	wh2_main_special_fortress_gate_unicorn_untainted_5	wh_dlc05_wef_defence_major_1
995232966	wh2_main_special_fortress_gate_unicorn_untainted_5	wh3_main_ogr_settlement_major_3
995232967	wh3_main_special_settlement_bastion_other_1	wh_dlc05_wef_defence_major_1
995232968	wh3_main_special_settlement_bastion_other_1	wh3_main_ogr_settlement_major_1
995232969	wh3_main_special_settlement_bastion_other_2	wh_dlc05_wef_defence_major_1
995232970	wh3_main_special_settlement_bastion_other_2	wh3_main_ogr_settlement_major_2
995232971	wh3_main_special_settlement_bastion_other_3	wh_dlc05_wef_defence_major_1
995232972	wh3_main_special_settlement_bastion_other_3	wh3_main_ogr_settlement_major_3
995232973	wh3_main_special_settlement_bastion_other_4	wh_dlc05_wef_defence_major_1
995232974	wh3_main_special_settlement_bastion_other_4	wh3_main_ogr_settlement_major_3
995232975	wh3_main_special_settlement_bastion_other_5	wh_dlc05_wef_defence_major_1
995232976	wh3_main_special_settlement_bastion_other_5	wh3_main_ogr_settlement_major_3
