personality	pooled_resource	income_allocation_policy	budget_policy
#cai_personalities_pooled_resource_to_allocations_junctions_tables;0;db/cai_personalities_pooled_resource_to_allocations_junctions_tables/zzz_cbfm_6_3_1_update			
wh3_combi_lizardmen_gorrok	wh3_main_lzd_sacred_spawning	wh3_default	wh3_budget_policy_sacred_spawnings
wh3_combi_lizardmen_kroqgar	wh3_main_lzd_sacred_spawning	wh3_default	wh3_budget_policy_sacred_spawnings
wh3_combi_lizardmen_mazdamundi	wh3_main_lzd_sacred_spawning	wh3_default	wh3_budget_policy_sacred_spawnings
wh3_combi_lizardmen_minor	wh3_main_lzd_sacred_spawning	wh3_default	wh3_budget_policy_sacred_spawnings
wh3_combi_lizardmen_nakai	wh3_main_lzd_sacred_spawning	wh3_default	wh3_budget_policy_sacred_spawnings
wh3_combi_lizardmen_oxyotl	wh3_main_lzd_sacred_spawning	wh3_default	wh3_budget_policy_sacred_spawnings
wh3_combi_lizardmen_tehenhauin	wh3_main_lzd_sacred_spawning	wh3_default	wh3_budget_policy_sacred_spawnings
wh3_combi_lizardmen_tiktaqto	wh3_main_lzd_sacred_spawning	wh3_default	wh3_budget_policy_sacred_spawnings
wh3_combi_lizardmen_vassal	wh3_main_lzd_sacred_spawning	wh3_default	wh3_budget_policy_sacred_spawnings
wh3_lizardmen_minor	wh3_main_lzd_sacred_spawning	wh3_default	wh3_budget_policy_sacred_spawnings
