member	context	culture
#campaign_group_member_criteria_cultures_tables;1;db/campaign_group_member_criteria_cultures_tables/zzz_cbfm_oxyotl_fixes		
wh2_dlc17_captive_option_release_oxyotl_to_chaos_beastmen	ACTOR	wh_dlc03_bst_beastmen
wh2_dlc17_captive_option_release_oxyotl_to_chaos_chaos	ACTOR	wh_main_chs_chaos
wh2_dlc17_captive_option_release_oxyotl_to_chaos_skaven	ACTOR	wh2_main_skv_skaven
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_norsca	ACTOR	wh_dlc08_nor_norsca
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_khorne	ACTOR	wh3_main_kho_khorne
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_tzeentch	ACTOR	wh3_main_tze_tzeentch
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_slaanesh	ACTOR	wh3_main_sla_slaanesh
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_nurgle	ACTOR	wh3_main_nur_nurgle
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_daemons	ACTOR	wh3_main_dae_daemons
