member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/zzz_cbfm_oxyotl_fixes		
wh2_dlc17_captive_option_release_oxyotl_to_chaos_beastmen	ORIGINATOR	wh2_dlc17_lzd_oxyotl
wh2_dlc17_captive_option_release_oxyotl_to_chaos_chaos	ORIGINATOR	wh2_dlc17_lzd_oxyotl
wh2_dlc17_captive_option_release_oxyotl_to_chaos_skaven	ORIGINATOR	wh2_dlc17_lzd_oxyotl
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_norsca	ORIGINATOR	wh2_dlc17_lzd_oxyotl
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_khorne	ORIGINATOR	wh2_dlc17_lzd_oxyotl
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_tzeentch	ORIGINATOR	wh2_dlc17_lzd_oxyotl
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_slaanesh	ORIGINATOR	wh2_dlc17_lzd_oxyotl
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_nurgle	ORIGINATOR	wh2_dlc17_lzd_oxyotl
cbfm_wh2_dlc17_captive_option_release_oxyotl_to_chaos_daemons	ORIGINATOR	wh2_dlc17_lzd_oxyotl
