attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/zzz_cbfm_immunities	
mountain	wh3_dlc27_woc_mon_chimera_ror
mountain	wh3_dlc27_nor_inf_marauder_bearmen_greatweapons
mountain	wh3_dlc27_nor_mon_chimera
chaos_territory	wh3_dlc27_woc_mon_chimera_ror
nurgle_plague	wh3_dlc27_nor_inf_marauder_bearmen_greatweapons
chaos_territory	wh3_dlc27_nor_inf_marauder_bearmen_greatweapons
chaos_territory	wh3_dlc27_nor_mon_chimera
chaos_territory	wh3_dlc27_sla_mon_champions_of_slaanesh_ror
chaos_territory	wh3_dlc27_sla_mon_champions_of_slaanesh
chaos_territory	wh3_dlc27_sla_cav_pleasureseekers
chaos_wastes	wh3_dlc27_woc_mon_chimera_ror
chaos_wastes	wh3_dlc27_nor_inf_marauder_bearmen_greatweapons
chaos_wastes	wh3_dlc27_nor_mon_chimera
chaos_wastes	wh3_dlc27_sla_mon_champions_of_slaanesh_ror
chaos_wastes	wh3_dlc27_sla_mon_champions_of_slaanesh
chaos_wastes	wh3_dlc27_sla_cav_pleasureseekers
non_vampire_territory	wh3_dlc27_woc_mon_chimera_ror
non_vampire_territory	wh3_dlc27_nor_inf_marauder_bearmen_greatweapons
non_vampire_territory	wh3_dlc27_nor_mon_chimera
non_vampire_territory	wh3_dlc27_sla_mon_champions_of_slaanesh_ror
non_vampire_territory	wh3_dlc27_sla_mon_champions_of_slaanesh
non_vampire_territory	wh3_dlc27_sla_cav_pleasureseekers
snow	wh3_dlc27_woc_mon_chimera_ror
snow	wh3_dlc27_nor_inf_marauder_bearmen_greatweapons
snow	wh3_dlc27_nor_mon_chimera
snow	wh3_dlc27_sla_mon_champions_of_slaanesh_ror
snow	wh3_dlc27_sla_cav_pleasureseekers
snow	wh3_dlc27_sla_mon_champions_of_slaanesh
