attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/zzz_cbfm_missingattrimmunities	
chaos_territory	wh3_dlc20_chs_cha_chaos_lord_mkho
chaos_territory	wh3_dlc20_chs_cha_chaos_lord_mkho_chaos_steed
chaos_territory	wh3_dlc20_chs_cha_chaos_lord_mkho_gorebeast_chariot
chaos_territory	wh3_dlc20_chs_cha_chaos_lord_mkho_juggernaut
chaos_territory	wh3_dlc20_chs_cha_chaos_lord_msla
chaos_territory	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_chariot
chaos_territory	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_steed
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_chaos_steed
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_warshrine
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_warshrine
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_fire_warshrine
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_chaos_steed
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_disc
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_warshrine
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_warshrine
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_chaos_steed
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_warshrine
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_shadows_warshrine
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_chaos_steed
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc
chaos_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_warshrine
chaos_wastes	wh3_dlc20_chs_cha_chaos_lord_mkho
chaos_wastes	wh3_dlc20_chs_cha_chaos_lord_mkho_chaos_steed
chaos_wastes	wh3_dlc20_chs_cha_chaos_lord_mkho_gorebeast_chariot
chaos_wastes	wh3_dlc20_chs_cha_chaos_lord_mkho_juggernaut
chaos_wastes	wh3_dlc20_chs_cha_chaos_lord_msla
