group	parent
#cdir_military_generator_unit_group_overrides_tables;0;db/cdir_military_generator_unit_group_overrides_tables/zzz_cbfm_teb_recr_templates	
Default_land_artillery	wh3_default_land_artillery
Default_land_cavalry_melee	wh3_default_land_melee_cavalry
Default_land_cavalry_missile	wh3_default_land_ranged_cavalry
Default_land_cavalry_shock	wh3_default_land_melee_cavalry_main_shock
Default_land_infantry_melee	wh3_default_land_melee_infantry
Default_land_infantry_missile	wh3_default_land_ranged_infantry_main
Default_land_infantry_spearmen	wh3_default_land_melee_infantry_main_frontline_spears
Default_land_magic	wh3_default_land_characters
Default_land_vehicle	wh3_default_land_ranged_infantry_main_light
