character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/zzz_cbfm_6_3_1_update				
wh2_dlc09_skill_innate_tmb_scavenger	wh3_main_effect_post_battle_canopic_jars	1	character_to_character_own	5.0000
wh2_dlc09_skill_tmb_campaign_4	wh3_main_effect_post_battle_canopic_jars	2	character_to_force_own_alt_text	2.0000
wh2_dlc09_skill_tmb_campaign_4	wh3_main_effect_post_battle_canopic_jars	3	character_to_force_own_alt_text	3.0000
wh2_dlc09_skill_tmb_khatep_mortuary_cult_scholar	wh2_dlc09_effect_agent_cap_increase_tmb_liche_priest	1	character_to_faction_unseen	2.0000
wh2_dlc09_skill_tmb_khatep_unique_4	wh2_dlc09_effect_agent_cap_increase_tmb_liche_priest	1	character_to_faction_unseen	2.0000
wh2_dlc09_skill_tmb_khatep_unique_4	wh2_dlc09_effect_agent_recruitment_xp_tmb_liche_priest	1	faction_to_province_own_factionwide	3.0000
wh2_dlc16_skill_innate_wef_spite_blight_of_terrors_ancient_treeman	wh_main_effect_force_stat_leadership_enemy_unit	1	character_to_force_enemy_provincewide	-3.0000
wh2_dlc16_skill_innate_wef_spite_blight_of_terrors_ancient_treeman	wh_main_effect_force_stat_physical_resistance	1	character_to_force_own	5.0000
wh2_dlc16_skill_innate_wef_spite_blight_of_terrors_branchwraith	wh_main_effect_character_stat_physical_resistance	1	character_to_character_own	5.0000
wh2_main_skill_innate_bst_nurgles_foul_stink	wh_main_effect_character_stat_unit_health	1	character_to_character_own	10.0000
wh2_main_skill_innate_bst_nurgles_foul_stink	wh_main_effect_force_stat_leadership_enemy_unit	1	general_to_force_enemy_regionwide	-3.0000
wh2_main_skill_innate_def_spiteful	wh3_main_effect_attribute_enable_contempt	1	character_to_character_own	1.0000
wh2_main_skill_innate_emp_noble	wh_main_effect_force_all_campaign_upkeep	1	force_to_character_own	-25.0000
wh2_main_skill_innate_lzd_arrogant	wh3_dlc24_effect_attribute_enable_360_missile_block	1	character_to_character_own	1.0000
wh2_main_skill_innate_lzd_arrogant	wh3_main_effect_character_campaign_experience_mod	1	force_to_character_own	-10.0000
wh2_main_skill_innate_lzd_arrogant	wh3_main_effect_character_experience_per_turn	1	character_to_character_own	500.0000
wh2_main_skill_innate_lzd_arrogant	wh_main_effect_character_stat_missile_block	1	character_to_character_own	10.0000
wh2_main_skill_innate_lzd_humble	wh3_dlc25_effect_ability_enable_rabble_rouse	1	character_to_character_own	1.0000
wh2_main_skill_innate_lzd_uncompromising	wh_main_effect_agent_action_success_chance_enemy	1	character_to_character_own	-15.0000
wh2_main_skill_innate_lzd_uncompromising	wh_main_effect_building_construction_cost_mod_advanced_recruitment	1	character_to_region_own_provincewide	-15.0000
wh2_main_skill_innate_skv_sharp_teeth	wh_main_effect_character_stat_ap_damage	1	character_to_character_own	50.0000
wh2_main_skill_innate_skv_warpstone_hoarder	wh2_main_effect_force_stat_missile_ap_skv_plagueclaw_warplightning_doomwheel	1	character_to_force_own	3.0000
wh2_main_skill_innate_vmp_dread_incarnate	wh_main_effect_force_stat_leadership_enemy_unit	1	character_to_force_enemy_provincewide	-2.0000
wh2_main_skill_innate_vmp_lore_keeper	wh3_main_effect_battle_barrier_health_add	1	character_to_character_own	250.0000
wh2_main_skill_innate_vmp_lore_keeper	wh3_main_effect_winds_of_magic_pool_cap	1	character_to_force_own_alt_text	8.0000
wh3_dlc20_skill_innate_chs_hideous_visage	wh2_dlc15_effect_character_stat_enable_orrible_attacks	1	character_to_character_own	1.0000
wh3_dlc20_skill_innate_chs_hideous_visage	wh_main_effect_character_stat_leadership	1	character_to_character_own	-8.0000
wh3_dlc20_skill_innate_chs_hideous_visage	wh_main_effect_public_order_characters_negative	1	character_to_province_enemy	-5.0000
wh3_dlc23_skill_innate_chd_lord_hero_shared_14_overconfident	wh_main_effect_character_stat_leadership	1	character_to_character_own	8.0000
wh3_main_skill_innate_nurgle_2	wh_main_effect_force_stat_leadership_enemy_unit	1	character_to_force_enemy_provincewide	-3.0000
wh3_main_skill_innate_ogre_kingdoms_4	wh3_main_effect_character_stat_unit_mass_percentage_mod	1	character_to_character_own	25.0000
wh3_main_skill_innate_ogre_kingdoms_5	wh2_main_effect_character_stat_enable_flaming_attacks	1	character_to_character_own	1.0000
wh3_main_skill_tmb_king_general_2	wh3_main_effect_attribute_unyielding_assault	1	character_to_character_own	1.0000
wh_dlc07_brt_skill_innate_all_intelligent	wh_dlc07_effect_chivalry_per_turn_traits_good	1	character_to_faction_when_on_map_unseen	3.0000
wh_dlc07_brt_skill_innate_all_sanguine	wh_dlc07_effect_chivalry_per_turn_traits_good	1	character_to_faction_when_on_map_unseen	3.0000
wh_main_skill_innate_brt_virtue_confidence	wh3_main_effect_force_all_campaign_movement_range_post_battle_win	1	character_to_character_own	10.0000
wh_main_skill_innate_brt_virtue_ideal	wh_dlc07_effect_chivalry_per_turn_traits_good	1	character_to_faction_when_on_map_unseen	3.0000
wh_main_skill_innate_brt_virtue_noble_disdain	wh_dlc07_effect_chivalry_per_turn_traits_good	1	character_to_faction_when_on_map_unseen	8.0000
wh_main_skill_innate_chs_diabolic_spendour	wh_main_effect_ability_enable_glittering_scales	1	character_to_character_own	1.0000
