character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/zzz_cbfm_buff_orc_spells				
wh3_main_skill_grn_orc_shaman_exclusive_3	wh2_main_effect_ability_wom_cost_brain_bursta	1	character_to_character_own	-1.0000
wh3_main_skill_grn_orc_shaman_exclusive_3	wh2_main_effect_ability_wom_cost_brain_bursta_upgraded	1	character_to_character_own	-1.0000
wh3_main_skill_grn_orc_shaman_exclusive_1	wh2_main_effect_ability_wom_cost_fists_of_gork	1	character_to_character_own	-1.0000
wh3_main_skill_grn_orc_shaman_exclusive_2	wh2_main_effect_ability_wom_cost_eadbutt	1	character_to_character_own	-1.0000
wh3_main_skill_grn_orc_shaman_exclusive_2	wh2_main_effect_ability_wom_cost_eadbutt_upgraded	1	character_to_character_own	-1.0000
wh3_main_skill_grn_river_troll_hag_unique_capstone	wh2_main_effect_ability_wom_cost_doom_and_darkness	1	character_to_character_own	-1.0000
wh3_main_skill_grn_river_troll_hag_unique_capstone	wh2_main_effect_ability_wom_cost_doom_and_darkness_upgraded	1	character_to_character_own	-1.0000
wh3_main_skill_grn_river_troll_hag_unique_capstone	wh2_main_effect_ability_wom_cost_soulblight	1	character_to_character_own	-1.0000
wh3_main_skill_grn_river_troll_hag_unique_capstone	wh2_main_effect_ability_wom_cost_soulblight_upgraded	1	character_to_character_own	-1.0000
wh3_main_skill_grn_goblin_shaman_exclusive_1	wh2_main_effect_ability_wom_cost_sneaky_stabbin	1	character_to_character_own	-1.0000
wh3_main_skill_grn_goblin_shaman_exclusive_2	wh2_main_effect_ability_wom_cost_itchy_nuisance	1	character_to_character_own	-1.0000
wh3_main_skill_grn_goblin_shaman_exclusive_3	wh2_main_effect_ability_wom_cost_gorkll_fix_it	1	character_to_character_own	-1.0000
