character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/zzz_cbfm_chd_traits_fix				
wh3_dlc23_skill_innate_chd_hero_infernal_castellan_4_unethical	wh3_dlc23_chd_effect_reduced_recruit_cost_infernal_guard	1	character_to_force_own	-10.0000
wh3_dlc23_skill_innate_chd_hero_infernal_castellan_4_unethical	wh3_dlc23_effect_upkeep_reduction_chd_infernal_guard	1	character_to_force_own	-10.0000
wh3_dlc23_skill_innate_chd_convoy_overseer_hobgoblin_favour	wh3_dlc23_effect_force_stat_armour_chd_hobgoblin_wolf_raiders	1	general_to_force_own	10.0000
wh3_dlc23_skill_innate_chd_convoy_overseer_metallic_resilience	wh_main_effect_force_all_campaign_replenishment_rate	1	general_to_force_own	10.0000
wh3_dlc23_skill_innate_chd_convoy_overseer_war_machinist	wh3_dlc23_effect_chd_lord_effect_speed_war_machines	1	general_to_force_own	10.0000
wh3_dlc23_skill_innate_chd_convoy_overseer_war_machinist	wh3_dlc23_effect_chd_lord_effect_armour_war_machines	1	general_to_force_own	15.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_death_2_controlling	wh3_dlc23_effect_force_stat_leadership_chaos_dwarf_infantry	1	character_to_force_own	5.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_fire_2_controlling	wh3_dlc23_effect_force_stat_leadership_chaos_dwarf_infantry	1	character_to_force_own	5.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_hashut_2_controlling	wh3_dlc23_effect_force_stat_leadership_chaos_dwarf_infantry	1	character_to_force_own	5.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_metal_2_controlling	wh3_dlc23_effect_force_stat_leadership_chaos_dwarf_infantry	1	character_to_force_own	5.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_death_3_fanatical	wh3_dlc20_effect_force_xp_gain_increase_forces_of_order	1	character_to_force_own	10.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_fire_3_fanatical	wh3_dlc20_effect_force_xp_gain_increase_forces_of_order	1	character_to_force_own	10.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_hashut_3_fanatical	wh3_dlc20_effect_force_xp_gain_increase_forces_of_order	1	character_to_force_own	10.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_metal_3_fanatical	wh3_dlc20_effect_force_xp_gain_increase_forces_of_order	1	character_to_force_own	10.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_death_1_compulsive	wh3_dlc23_effect_force_chd_campaign_post_battle_labour_dummy	1	agent_to_parent_army_general_own	10.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_death_1_compulsive	wh_main_effect_force_all_campaign_post_battle_loot_mod	1	agent_to_parent_army_general_own	10.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_fire_1_compulsive	wh3_dlc23_effect_force_chd_campaign_post_battle_labour_dummy	1	agent_to_parent_army_general_own	10.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_fire_1_compulsive	wh_main_effect_force_all_campaign_post_battle_loot_mod	1	agent_to_parent_army_general_own	10.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_hashut_1_compulsive	wh3_dlc23_effect_force_chd_campaign_post_battle_labour_dummy	1	agent_to_parent_army_general_own	10.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_hashut_1_compulsive	wh_main_effect_force_all_campaign_post_battle_loot_mod	1	agent_to_parent_army_general_own	10.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_metal_1_compulsive	wh3_dlc23_effect_force_chd_campaign_post_battle_labour_dummy	1	agent_to_parent_army_general_own	10.0000
wh3_dlc23_skill_innate_chd_hero_daemonsmith_sorcerer_metal_1_compulsive	wh_main_effect_force_all_campaign_post_battle_loot_mod	1	agent_to_parent_army_general_own	10.0000
wh3_dlc23_skill_innate_chd_hero_infernal_castellan_1_callous	wh3_dlc23_effect_force_chd_campaign_post_battle_labour_dummy	1	agent_to_parent_army_general_own	5.0000
wh3_dlc23_skill_innate_chd_hero_infernal_castellan_1_callous	wh_main_effect_force_all_campaign_post_battle_loot_mod	1	agent_to_parent_army_general_own	5.0000
wh3_dlc23_skill_innate_chd_hero_infernal_castellan_1_callous	wh_main_effect_force_all_campaign_sacking_income	1	agent_to_parent_army_general_own	10.0000
wh3_dlc23_skill_innate_chd_lord_hero_shared_20_cruel	wh_main_effect_force_all_campaign_raid_income	1	character_to_army_general_own	10.0000
wh3_dlc23_skill_innate_chd_lord_hero_shared_20_cruel	wh_main_effect_force_all_campaign_sacking_income	1	character_to_army_general_own	10.0000
