character_skill_key	level	effect_key	value	effect_scope
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/zzz_cbfm_redcrestedskinks				
wh2_dlc12_skill_lzd_tehenhauin_2	1	wh2_HV_lzd_armour_redcrested_skink_ark_of_sotek	20.0000	general_to_force_own
wh2_dlc12_skill_lzd_tehenhauin_3	1	wh2_HV_lzd_melee_attack_redcrested_skink	8.0000	general_to_force_own
wh2_dlc12_skill_lzd_tehenhauin_3	1	wh2_HV_lzd_morale_redcrested_skink_ark_of_sotek	10.0000	general_to_force_own
wh2_dlc12_skill_lzd_tehenhauin_6	1	wh2_HV_effect_force_redcrested_skink_ark_of_sotek_campaign_replenishment_rate	10.0000	general_to_force_own
wh2_dlc12_skill_lzd_tehenhauin_6	1	wh2_HV_lzd_upkeep_redcrested_skink_ark_of_sotek	-20.0000	general_to_force_own
wh2_dlc12_skill_lzd_tehenhauin_6	1	wh2_dlc12_effect_force_redcrested_skink_ark_of_sotek_campaign_replenishment_rate	0.0000	general_to_force_own_unseen
wh2_dlc12_skill_lzd_tehenhauin_2	1	wh2_dlc12_effect_force_stat_armour_redcrested_skink_ark_of_sotek	0.0000	general_to_force_own_unseen
wh2_dlc12_skill_lzd_tehenhauin_3	1	wh2_dlc12_effect_force_stat_melee_attack_redcrested_skink	0.0000	general_to_force_own_unseen
wh2_dlc12_skill_lzd_tehenhauin_3	1	wh2_dlc12_effect_force_stat_leadership_redcrested_skink_ark_of_sotek	0.0000	general_to_force_own_unseen
wh2_dlc12_skill_lzd_tehenhauin_6	1	wh2_dlc12_lzd_upkeep_redcrested_skink_ark_of_sotek	0.0000	general_to_force_own_unseen
