set	item	mod_disabled
#character_skill_node_set_items_tables;0;db/character_skill_node_set_items_tables/zzz_cbfm_6_3_1_update		
wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0	wh2_dlc13_skill_node_emp_hunter_rodrik_innate_06	true
wh2_dlc14_skill_node_set_def_master	wh2_dlc14_skill_node_def_master_innate_04	true
wh_dlc07_skill_node_set_brt_paladin	wh_main_skill_node_brt_champion_innate_06	true
wh_dlc08_skill_node_set_nor_fimir_balefiend_fire	wh_dlc08_skill_node_set_nor_fimir_balefiend_fire_innate_01	true
wh_dlc08_skill_node_set_nor_fimir_balefiend_shadow	wh_dlc08_skill_node_set_nor_fimir_balefiend_shadow_innate_01	true
wh_dlc08_skill_node_set_nor_marauder_chieftain	wh_dlc08_skill_node_set_nor_marauder_chieftan_innate_01	true
wh_dlc08_skill_node_set_nor_shaman_sorcerer_death	wh_dlc08_skill_node_set_nor_shaman_sorcerer_death_innate_01	true
wh_dlc08_skill_node_set_nor_shaman_sorcerer_fire	wh_dlc08_skill_node_set_nor_shaman_sorcerer_fire_innate_01	true
wh_dlc08_skill_node_set_nor_shaman_sorcerer_metal	wh_dlc08_skill_node_set_nor_shaman_sorcerer_metal_innate_01	true
wh_dlc08_skill_node_set_nor_skin_wolf_werekin	wh_dlc08_skill_node_set_nor_skin_wolf_werekin_innate_01	true
