set	item	mod_disabled
#character_skill_node_set_items_tables;0;db/character_skill_node_set_items_tables/zzz_cbfm_hagsold_trait		
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_blind	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_boring	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_choleric	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_clumsy	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_deformed	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_easily_deceived	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_easily_distracted	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_easily_trapped	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_honourable	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_maimed_arm	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_maimed_leg	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_melancholic	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_phlegmatic	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_sanguine	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_scar_disfiguring	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_scar_distinguishing	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_sneaky	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_stupid	true
wh3_dlc24_skill_node_set_ksl_hag_witch_beasts	wh_main_skill_innate_all_uncompromising	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_blind	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_boring	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_choleric	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_clumsy	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_deformed	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_easily_deceived	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_easily_distracted	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_easily_trapped	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_honourable	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_maimed_arm	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_maimed_leg	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_melancholic	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_phlegmatic	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_sanguine	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_scar_disfiguring	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_scar_distinguishing	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_sneaky	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_stupid	true
wh3_dlc24_skill_node_set_ksl_hag_witch_death	wh_main_skill_innate_all_uncompromising	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_blind	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_boring	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_choleric	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_clumsy	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_deformed	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_easily_deceived	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_easily_distracted	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_easily_trapped	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_honourable	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_maimed_arm	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_maimed_leg	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_melancholic	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_phlegmatic	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_sanguine	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_scar_disfiguring	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_scar_distinguishing	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_sneaky	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_stupid	true
wh3_dlc24_skill_node_set_ksl_hag_witch_shadows	wh_main_skill_innate_all_uncompromising	true
