set	item	mod_disabled
#character_skill_node_set_items_tables;0;db/character_skill_node_set_items_tables/zzz_cbfm_kihar_only_skills		
wh_main_skill_node_set_chs_chaos_sorcerer_death	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_2	true
wh_dlc07_skill_node_set_chs_sorcerer_shadow	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_2	true
wh3_dlc25_chs_sorcerer_death_mnur	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_2	true
wh3_dlc20_chs_sorcerer_slaanesh_msla	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_2	true
wh3_dlc20_chs_sorcerer_metal_mtze	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_2	true
wh_main_skill_node_set_chs_chaos_sorcerer_metal	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_1	true
wh_main_skill_node_set_chs_chaos_sorcerer_death	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_1	true
wh_dlc07_skill_node_set_chs_sorcerer_shadow	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_1	true
wh3_dlc25_chs_sorcerer_death_mnur	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_1	true
wh3_dlc20_chs_sorcerer_slaanesh_msla	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_1	true
wh3_dlc20_chs_sorcerer_metal_mtze	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_1	true
wh_main_skill_node_set_chs_chaos_sorcerer_fire	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_2	true
wh3_dlc25_chs_sorcerer_nurgle_mnur	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_2	true
wh3_dlc20_chs_sorcerer_tzeentch_mtze	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_2	true
wh3_dlc20_chs_sorcerer_shadows_msla	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_2	true
wh_main_skill_node_set_nor_chaos_sorcerer_metal	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_1	true
wh_main_skill_node_set_chs_chaos_sorcerer_fire	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_1	true
wh3_dlc25_chs_sorcerer_nurgle_mnur	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_1	true
wh3_dlc20_chs_sorcerer_tzeentch_mtze	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_1	true
wh3_dlc20_chs_sorcerer_shadows_msla	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_1	true
wh_main_skill_node_set_chs_chaos_sorcerer_metal	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_2	true
wh_main_skill_node_set_nor_chaos_sorcerer_metal	wh3_dlc27_skill_node_chs_chaos_sorcerer_unique_2	true
