set	item	mod_disabled
#character_skill_node_set_items_tables;0;db/character_skill_node_set_items_tables/zzz_cbfm_norsca_legendary_hero_skill_locks		
wh3_main_ie_skill_node_set_nor_killgore_slaymaim	wh3_main_ie_nor_killgore_shared_01	true
wh3_main_ie_skill_node_set_nor_killgore_slaymaim	wh3_main_ie_nor_killgore_shared_02	true
wh3_main_ie_skill_node_set_nor_killgore_slaymaim	wh3_main_ie_nor_killgore_shared_03	true
wh3_main_ie_skill_node_set_nor_killgore_slaymaim	wh3_main_ie_nor_killgore_shared_04	true
wh3_main_ie_skill_node_set_nor_killgore_slaymaim	wh3_main_ie_nor_killgore_shared_05	true
wh_dlc08_skill_node_set_nor_kihar	wh3_main_ie_nor_kihar_shared_01	true
wh_dlc08_skill_node_set_nor_kihar	wh3_main_ie_nor_kihar_shared_02	true
wh_dlc08_skill_node_set_nor_kihar	wh3_main_ie_nor_kihar_shared_03	true
wh_dlc08_skill_node_set_nor_kihar	wh3_main_ie_nor_kihar_shared_04	true
wh_dlc08_skill_node_set_nor_kihar	wh3_main_ie_nor_kihar_shared_05	true
wh_dlc08_skill_node_set_nor_kihar	wh3_main_ie_nor_kihar_shared_06	true
wh3_main_ie_skill_node_set_nor_killgore_slaymaim	cbfm_wh3_main_ie_nor_killgore_shared_01	false
wh3_main_ie_skill_node_set_nor_killgore_slaymaim	cbfm_wh3_main_ie_nor_killgore_shared_02	false
wh3_main_ie_skill_node_set_nor_killgore_slaymaim	cbfm_wh3_main_ie_nor_killgore_shared_03	false
wh3_main_ie_skill_node_set_nor_killgore_slaymaim	cbfm_wh3_main_ie_nor_killgore_shared_04	false
wh3_main_ie_skill_node_set_nor_killgore_slaymaim	cbfm_wh3_main_ie_nor_killgore_shared_05	false
wh_dlc08_skill_node_set_nor_kihar	cbfm_wh3_main_ie_nor_kihar_shared_01	false
wh_dlc08_skill_node_set_nor_kihar	cbfm_wh3_main_ie_nor_kihar_shared_02	false
wh_dlc08_skill_node_set_nor_kihar	cbfm_wh3_main_ie_nor_kihar_shared_03	false
wh_dlc08_skill_node_set_nor_kihar	cbfm_wh3_main_ie_nor_kihar_shared_04	false
wh_dlc08_skill_node_set_nor_kihar	cbfm_wh3_main_ie_nor_kihar_shared_05	false
wh_dlc08_skill_node_set_nor_kihar	cbfm_wh3_main_ie_nor_kihar_shared_06	false
