key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/zzz_cbfm_monogod_nurgleskills									
wh3_dlc20_chs_sorcerer_lord_death_mnur_death_campaign_10_monogod		wh3_main_skill_nur_lord_campaign_replenish_growth		5	9	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_sorcerer_lord_death_mnur_death_campaign_2_monogod		wh_main_skill_chs_lord_campaign_serve_or_die		5	1	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_sorcerer_lord_death_mnur_death_campaign_3_monogod		wh_main_skill_grn_lord_campaign_looter		5	2	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_sorcerer_lord_death_mnur_death_campaign_4_monogod		wh3_main_skill_nur_lord_campaign_upkeep		5	3	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_sorcerer_lord_death_mnur_death_campaign_5_monogod		wh3_main_skill_nur_lord_campaign_corruption		5	4	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_sorcerer_lord_death_mnur_death_campaign_8_monogod		wh_main_skill_chs_lord_campaign_despoilers		5	7	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_sorcerer_lord_death_mnur_death_campaign_9_monogod		wh3_main_skill_kho_lord_campaign_attrition_reduction		5	8	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_daemon_prince_nurgle_campaign_10_monogod		wh3_main_skill_nur_lord_campaign_replenish_growth		5	9	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_daemon_prince_nurgle_campaign_2_monogod		wh_main_skill_chs_lord_campaign_serve_or_die		5	1	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_daemon_prince_nurgle_campaign_3_monogod		wh_main_skill_grn_lord_campaign_looter		5	2	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_daemon_prince_nurgle_campaign_4_monogod		wh3_main_skill_nur_lord_campaign_upkeep		5	3	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_daemon_prince_nurgle_campaign_5_monogod		wh3_main_skill_nur_lord_campaign_corruption		5	4	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_daemon_prince_nurgle_campaign_8_monogod		wh_main_skill_chs_lord_campaign_despoilers		5	7	wh3_main_sc_nur_nurgle	0	0	true
wh3_dlc20_chs_daemon_prince_nurgle_campaign_9_monogod		wh3_main_skill_kho_lord_campaign_attrition_reduction		5	8	wh3_main_sc_nur_nurgle	0	0	true
