key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;5;db/character_skill_nodes_tables/zzz_cbfm_strategist										
wh3_main_pro_skill_node_tze_cultist_innate_33	remove_innate	wh3_main_skill_innate_tzeentch_1	wh3_main_pro_skill_node_set_tze_cultist		6.0000	32.0000		0	0	false
wh3_main_skill_node_tze_cultist_innate_33	remove_innate	wh3_main_skill_innate_tzeentch_1	wh3_main_skill_node_set_tze_cultist		6.0000	32.0000		0	0	false
wh3_main_skill_node_tze_iridescent_horror_metal_innate_33	remove_innate	wh3_main_skill_innate_tzeentch_1	wh3_main_skill_node_set_tze_iridescent_horror_metal		6.0000	32.0000		0	0	false
wh3_main_skill_node_tze_iridescent_horror_tzeentch_innate_33	remove_innate	wh3_main_skill_innate_tzeentch_1	wh3_main_skill_node_set_tze_iridescent_horror_tzeentch		6.0000	32.0000		0	0	false
wh3_main_skill_node_cth_alchemist_innate_09	remove_innate	wh3_main_skill_innate_cth_strategist_hero	wh3_main_skill_node_set_cth_alchemist		6.0000	8.0000		0	0	false
wh3_main_skill_node_cth_astromancer_innate_09	remove_innate	wh3_main_skill_innate_cth_strategist_hero	wh3_main_skill_node_set_cth_astromancer		6.0000	8.0000		0	0	false
wh2_dlc12_skill_node_lzd_red_crested_skink_chief_horde_innate_15	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc13_lzd_red_crested_skink_chief_horde		6.0000	14.0000		0	0	false
wh2_dlc12_skill_node_lzd_red_crested_skink_chief_innate_15	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief		6.0000	14.0000		0	0	false
wh2_dlc12_skill_node_lzd_tlaqua_skink_chief_innate_15	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc12_skill_node_set_lzd_tlaqua_skink_chief		6.0000	14.0000		0	0	false
wh2_dlc13_skill_node_emp_hunter_hertwig_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc13_skill_node_set_emp_hunter_doctor_hertwig_van_hal		6.0000	15.0000		0	0	false
wh2_dlc13_skill_node_emp_hunter_jorek_innate_14	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0		6.0000	13.0000		0	0	false
wh2_dlc13_skill_node_emp_hunter_kalara_generic_02	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc13_skill_node_set_emp_hunter_kalara_of_wydrioth_0		6.0000	12.0000		0	0	false
wh2_dlc14_skill_node_def_master_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc14_skill_node_set_def_master		6.0000	15.0000		0	0	false
wh2_dlc16_skill_node_set_skv_chieftain_innate_14	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc16_skill_node_set_skv_chieftain		6.0000	14.0000		0	0	false
wh2_dlc16_skill_node_set_skv_packmaster_innate_14	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc16_skill_node_set_skv_packmaster		6.0000	14.0000		0	0	false
wh2_dlc17_skill_node_kevon_innate_innate_15	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc17_node_set_vmp_kevon_lloydstein		6.0000	15.0000		0	0	false
wh2_dlc17_skill_node_set_bst_doombull_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc17_skill_node_set_bst_doombull		6.0000	17.0000		0	0	false
wh2_dlc17_skill_node_set_bst_wargor_innate_15	remove_innate	wh2_main_skill_innate_all_strategist	wh2_dlc17_skill_node_set_bst_wargor		6.0000	16.0000		0	0	false
wh2_main_skill_node_def_death_hag_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_def_death_hag		6.0000	15.0000		0	0	false
wh2_main_skill_node_def_khainite_assassin_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_def_khainite_assassin		6.0000	15.0000		0	0	false
wh2_main_skill_node_dwf_thane_innate_14	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_dwf_thane		6.0000	13.0000		0	0	false
wh2_main_skill_node_emp_captain_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_emp_captain		6.0000	15.0000		0	0	false
wh2_main_skill_node_emp_warrior_priest_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_emp_warrior_priest		6.0000	15.0000		0	0	false
wh2_main_skill_node_emp_witch_hunter_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_emp_witch_hunter		6.0000	15.0000		0	0	false
wh2_main_skill_node_grn_goblin_big_boss_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_grn_goblin_big_boss		6.0000	15.0000		0	0	false
wh2_main_skill_node_lzd_saurus_scar_veteran_innate_15	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_lzd_saurus_scar_veteran		6.0000	14.0000		0	0	false
wh2_main_skill_node_lzd_skink_chief_innate_15	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_lzd_skink_chief		6.0000	14.0000		0	0	false
wh2_main_skill_node_skv_assassin_innate_15	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_skv_assassin		6.0000	14.0000		0	0	false
wh2_main_skill_node_skv_warlock_engineer_innate_15	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_skv_warlock_engineer		6.0000	14.0000		0	0	false
wh2_main_skill_node_teb_captain_innate_11	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_teb_captain		6.0000	10.0000		0	0	false
wh2_main_skill_node_vmp_banshee_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_vmp_banshee		6.0000	15.0000		0	0	false
wh2_main_skill_node_vmp_wight_king_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh2_main_skill_node_set_vmp_wight_king		6.0000	15.0000		0	0	false
wh2_pro09_skill_node_grn_black_ork_big_boss_innate_17	remove_innate	wh2_main_skill_innate_all_strategist	wh2_pro09_skill_node_set_grn_black_orc_big_boss		6.0000	16.0000		0	0	false
wh2_twa02_skill_node_wef_glade_captain_innate_13	remove_innate	wh2_main_skill_innate_all_strategist	wh2_twa02_skill_node_set_wef_glade_captain		6.0000	12.0000		0	0	false
wh3_main_pro_skill_node_kho_cultist_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_pro_skill_node_set_kho_cultist		6.0000	8.0000		0	0	false
wh3_main_pro_skill_node_ksl_patriarch_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_pro_skill_node_set_ksl_patriarch		6.0000	8.0000		0	0	false
wh3_main_pro_skill_node_tze_cultist_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_pro_skill_node_set_tze_cultist		6.0000	8.0000		0	0	false
wh3_main_skill_node_kho_bloodreaper_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_kho_bloodreaper		6.0000	8.0000		0	0	false
wh3_main_skill_node_kho_cultist_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_kho_cultist		6.0000	8.0000		0	0	false
wh3_main_skill_node_ksl_patriarch_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_ksl_patriarch		6.0000	8.0000		0	0	false
wh3_main_skill_node_nur_cultist_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_nur_cultist		6.0000	8.0000		0	0	false
