key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/zzz_cbfm_wep_master_melee									
wh2_dlc10_skill_node_def_supreme_sorceress_beasts_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh2_dlc10_skill_node_def_supreme_sorceress_dark_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh2_dlc10_skill_node_def_supreme_sorceress_death_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh2_dlc10_skill_node_def_supreme_sorceress_fire_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh2_dlc10_skill_node_def_supreme_sorceress_shadow_innate_7		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh2_dlc13_skill_node_lzd_ancient_kroxigor_horde_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh2_dlc13_skill_node_lzd_ancient_kroxigor_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh2_dlc14_skill_node_def_master_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh2_dlc16_skill_node_set_skv_chieftain_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh2_dlc16_skill_node_set_skv_packmaster_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh2_dlc17_skill_node_set_bst_doombull_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	16		0	0	false
wh2_dlc17_skill_node_set_bst_great_bray_shaman_beast_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	16		0	0	false
wh2_dlc17_skill_node_set_bst_great_bray_shaman_death_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	16		0	0	false
wh2_dlc17_skill_node_set_bst_great_bray_shaman_shadows_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	16		0	0	false
wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	16		0	0	false
wh2_dlc17_skill_node_set_bst_wargor_innate_14		wh2_main_skill_innate_all_weapon_master_melee_only		6	15		0	0	false
wh2_main_skill_node_def_death_hag_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh2_main_skill_node_def_dreadlord_fem_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh2_main_skill_node_dwf_thane_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh2_main_skill_node_emp_captain_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh2_main_skill_node_emp_warrior_priest_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh2_main_skill_node_lzd_saurus_old_blood_horde_innate_14		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh2_main_skill_node_lzd_saurus_old_blood_innate_14		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh2_main_skill_node_lzd_saurus_scar_veteran_innate_14		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh2_main_skill_node_skv_assassin_innate_14		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh2_main_skill_node_skv_warlock_engineer_innate_14		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh2_main_skill_node_skv_warlord_innate_14		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh2_main_skill_node_teb_captain_innate_10		wh2_main_skill_innate_all_weapon_master_melee_only		6	9		0	0	false
wh2_pro09_skill_node_grn_black_ork_big_boss_innate_16		wh2_main_skill_innate_all_weapon_master_melee_only		6	15		0	0	false
wh3_dlc26_skill_node_grn_night_goblin_big_boss_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh3_dlc26_skill_node_ogr_bruiser_innate_12		wh2_main_skill_innate_all_weapon_master_melee_only		6	11		0	0	false
wh3_dlc26_skill_node_ogr_paymaster_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_dlc27_skill_node_nor_great_shaman_sorcerer_death_innate_11		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh3_dlc27_skill_node_nor_great_shaman_sorcerer_fire_innate_11		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh3_dlc27_skill_node_nor_great_shaman_sorcerer_metal_innate_11		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh3_dlc27_skill_node_sla_druchii_anointed_innate_12		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_pro_skill_node_ksl_boyar_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_pro_skill_node_ksl_patriarch_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_pro_skill_node_tze_cultist_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_ksl_boyar_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_ksl_patriarch_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_nur_cultist_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_nur_exalted_great_unclean_one_death_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_nur_exalted_great_unclean_one_nurgle_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_nur_herald_of_nurgle_death_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_nur_herald_of_nurgle_nurgle_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_nur_plagueridden_death_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_nur_plagueridden_nurgle_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_ogr_butcher_beasts_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_ogr_butcher_great_maw_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_ogr_firebelly_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_ogr_hunter_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_ogr_tyrant_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_tze_cultist_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_tze_exalted_lord_of_change_metal_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh3_main_skill_node_tze_exalted_lord_of_change_tzeentch_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh_dlc03_skill_node_boris_general_innate_10		wh2_main_skill_innate_all_weapon_master_melee_only		6	9		0	0	false
wh_dlc03_skill_node_bst_beastlord_innate_17		wh2_main_skill_innate_all_weapon_master_melee_only		6	16		0	0	false
wh_dlc03_skill_node_bst_champion_innate_16		wh2_main_skill_innate_all_weapon_master_melee_only		6	15		0	0	false
wh_dlc04_skill_node_emp_arch_lector_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh_dlc06_skill_node_dwf_runelord_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh_dlc06_skill_node_grn_night_goblin_warboss_innate_16		wh2_main_skill_innate_all_weapon_master_melee_only		6	15		0	0	false
wh_dlc08_skill_node_set_nor_marauder_chieftan_innate_14		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh_dlc08_skill_node_set_nor_skin_wolf_werekin_innate_14		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
wh_main_skill_node_dwf_lord_innate_13		wh2_main_skill_innate_all_weapon_master_melee_only		6	12		0	0	false
wh_main_skill_node_emp_general_innate_15		wh2_main_skill_innate_all_weapon_master_melee_only		6	14		0	0	false
wh_main_skill_node_grn_orc_warboss_innate_16		wh2_main_skill_innate_all_weapon_master_melee_only		6	15		0	0	false
wh_main_skill_node_teb_general_innate_14		wh2_main_skill_innate_all_weapon_master_melee_only		6	13		0	0	false
