id	settlement_option	captive_option_outcome	settlement_type	acting_army_faction_effect_bundle	acting_army_faction_effect_bundle_turns	target_settlement_faction_effect_bundle	target_settlement_faction_effect_bundle_turns	group	acting_army_effect_bundle	acting_army_effect_bundle_turns	tooltip	icon	base_loot	building_loot_mod	resource_transaction	uses_small_ui_template	sort_order_override	disable_gaining_action_points_for_a_turn	required_resources	resource_loot_multiplier	required_tag	required_diplomatic_stance	audio_override	allowed_building_chains	capturing_force_resource_transaction	capturing_force_resource_loot_multiplier
#culture_settlement_occupation_options_tables;5;db/culture_settlement_occupation_options_tables/zzz_cbfm_6_3_1_update																										
1017060144	occupation_decision_sack	enslave		wh2_twa03_bundle_rakarth_occupation_high_elves	0		0	wh2_twa03_rakarth_occupation_decision_high_elves		0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0.0000	1.0000		false	-1	true		0.0000						0.0000
1018	occupation_decision_colonise	none			0		0	wh2_main_sc_def_dark_elves_occupation_decision_colonise	wh3_main_bundle_vulnerable_colonize	1	Colonise||Settle your troops.	colonise	0.0000	1.0000		false	-1	true		0.0000						0.0000
1023	occupation_decision_do_nothing	none			0		0	wh2_main_sc_def_dark_elves_occupation_decision_do_nothing		0	Do Nothing||Leave the settlement as it stands.	desolation	0.0000	1.0000		false	-1	true		0.0000						0.0000
1024	occupation_decision_loot	enslave			0		0	wh2_main_sc_def_dark_elves_occupation_decision_loot		0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0.0000	1.0000		false	-1	true		0.5000						0.0000
1027	occupation_decision_occupy	kill			0		0	wh2_main_sc_def_dark_elves_occupation_decision_occupy		0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0.0000	1.0000		false	-1	true		0.0000						0.0000
1032	occupation_decision_raze_without_occupy	kill			0		0	wh2_main_sc_def_dark_elves_occupation_decision_raze_without_occupy		0	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh2_main_def_dark_elves_raze	100.0000	0.2000		false	-1	true		0.0000						0.0000
1033089891	occupation_decision_occupy	none			0		0	wh3_dlc26_sc_ogr_ogre_kingdoms_occupation_decision_occupy_golgfag		0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0.0000	1.0000	wh3_dlc26_resource_cost_ogr_merc_points_occupation	false	-1	true		0.0500						0.0000
1034	occupation_decision_resettle	none			0		0	wh2_main_sc_def_dark_elves_occupation_decision_resettle		0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0.0000	1.0000		false	-1	true		0.0000						0.0000
1036	occupation_decision_sack	enslave			0		0	wh2_main_sc_def_dark_elves_occupation_decision_sack		0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0.0000	1.0000		false	-1	true		0.0000						0.0000
1036292950	occupation_decision_occupy	kill		wh2_twa03_bundle_rakarth_occupation_warriors_of_chaos	0		0	wh2_twa03_rakarth_occupation_decision_warriors_of_chaos		0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0.0000	1.0000		false	-1	true		0.0000						0.0000
1043	occupation_decision_colonise	none			0		0	wh2_main_sc_hef_high_elves_occupation_decision_colonise	wh3_main_bundle_vulnerable_colonize	1	Colonise||Settle your troops.	colonise	0.0000	1.0000		false	-1	true		0.0000						0.0000
1046879507	occupation_decision_resettle	none			0		0	wh3_main_sc_kho_khorne_occupation_decision_resettle		0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0.0000	1.0000		false	-1	true		0.0000						0.0000
1048711434	occupation_decision_do_nothing	none			0		0	wh3_main_sc_kho_khorne_occupation_decision_do_nothing		0	Do Nothing||Leave the settlement as it stands.	desolation	0.0000	1.0000		false	-1	true		0.0000						0.0000
1051	occupation_decision_do_nothing	none			0		0	wh2_main_sc_hef_high_elves_occupation_decision_do_nothing		0	Do Nothing||Leave the settlement as it stands.	desolation	0.0000	1.0000		false	-1	true		0.0000						0.0000
