key	option	group	string
#diplomacy_negotiation_string_options_tables;0;db/diplomacy_negotiation_string_options_tables/zzz_cbfm_6_3_1_update			
acknowledge_accept	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Acknowledge_Accept_01
acknowledge_accept	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Acknowledge_Accept_02
acknowledge_accept	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Acknowledge_Accept_03
acknowledge_reject	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Acknowledge_Reject_01
acknowledge_reject	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Acknowledge_Reject_02
acknowledge_reject	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Acknowledge_Reject_03
demand_join_war	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Demand_Join_War_01
demand_join_war	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Demand_Join_War_02
demand_join_war	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Demand_Join_War_03
demand_payment	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Demand_Payments_Neutral_01
demand_payment	0	wh3_dlc27_diplomacy_subculture_Bretonnia_&_Negative	BRET_Dip_Demand_Payments_Negative_01
demand_payment	0	wh3_dlc27_diplomacy_subculture_Bretonnia_&_Positive	BRET_Dip_Demand_Payments_Positive_01
generic_offer_demand	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Generic_Offer_Neutral_01
generic_offer_demand	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Generic_Offer_Neutral_02
generic_offer_demand	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Generic_Offer_Neutral_03
generic_reject	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Lord1_Dip_Rejection_Neutral_01
generic_reject	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Lord1_Dip_Rejection_Neutral_02
generic_reject	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Lord1_Dip_Rejection_Neutral_03
generic_ultimatum	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Generic_Offer_Negative_01
generic_ultimatum	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Generic_Offer_Negative_02
generic_ultimatum	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Generic_Offer_Negative_03
offer_cooperation	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Cooperation_01
offer_cooperation	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Cooperation_02
offer_cooperation	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Cooperation_03
offer_demand_peace	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Peace_01
offer_demand_peace	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Peace_02
offer_demand_peace	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Peace_03
offer_join_war	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Join_War_01
offer_join_war	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Join_War_02
offer_join_war	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Join_War_03
offer_payment	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Gift_01
offer_payment	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Gift_02
offer_payment	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Gift_03
offer_peace_and_region	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Peace_01
offer_peace_and_region	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Peace_02
offer_peace_and_region	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Offer_Peace_03
reject_offer_demand_peace	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Reject_Peace_01
reject_offer_demand_peace	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Reject_Peace_02
reject_offer_demand_peace	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Reject_Peace_03
reject_subjugation	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Reject_Join_Confederation_01
reject_subjugation	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Reject_Join_Confederation_02
reject_subjugation	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Reject_Join_Confederation_03
reject_ultimatum	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Acknowledge_War_01
reject_ultimatum	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Acknowledge_War_02
reject_ultimatum	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Acknowledge_War_03
ultimatum_and_demand_region	0	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Generic_Offer_Negative_01
ultimatum_and_demand_region	1	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Generic_Offer_Negative_02
ultimatum_and_demand_region	2	wh3_dlc27_diplomacy_subculture_Bretonnia	BRET_Dip_Generic_Offer_Negative_03
