bonus_value_id	effect	subtype
#effect_bonus_value_agent_subtype_junctions_tables;0;db/effect_bonus_value_agent_subtype_junctions_tables/zzz_cbfm_cataph_teclisrankforce		
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages_cataph_hordes	wh2_dlc15_hef_archmage_beasts
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages_cataph_hordes	wh2_dlc15_hef_archmage_death
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages_cataph_hordes	wh2_dlc15_hef_archmage_fire
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages_cataph_hordes	wh2_dlc15_hef_archmage_heavens
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages_cataph_hordes	wh2_dlc15_hef_archmage_high
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages_cataph_hordes	wh2_dlc15_hef_archmage_life
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages_cataph_hordes	wh2_dlc15_hef_archmage_light
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages_cataph_hordes	wh2_dlc15_hef_archmage_metal
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages_cataph_hordes	wh2_dlc15_hef_archmage_shadows
