bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/zzz_cbfm_DEFtechfixes		
unit_xp_mod	wh2_dlc10_effect_tech_unit_xp_levels_def_doomfire_warlocks	wh2_dlc14_def_medusa
unit_damage_resistance_all_mod	wh2_dlc10_effect_force_stat_ward_save_doomfire_warlocks	wh2_dlc14_def_medusa
cost_mod	wh2_main_effect_tech_recruitment_cost_reduction_def_shades_darkriders	wh2_dlc14_def_scourgerunner_chariots
upkeep_mod	wh2_main_effect_tech_upkeep_cost_reduction_def_shades_darkriders	wh2_dlc14_def_scourgerunner_chariots
ammo_mod	wh2_main_effect_force_stat_ammunition_def_boltthrower	wh2_dlc14_def_scourgerunner_chariots
missile_damage_ap_mod_mult	wh2_main_effect_force_stat_missile_damage_def_boltthrower	wh2_dlc14_def_scourgerunner_chariots
missile_damage_mod_mult	wh2_main_effect_force_stat_missile_damage_def_boltthrower	wh2_dlc14_def_scourgerunner_chariots
armour_mod	wh2_main_effect_force_stat_armour_corsair_shade_darkrider	wh2_dlc14_def_scourgerunner_chariots
reload	wh2_main_effect_force_stat_reload_time_reduction_def_boltthrower	wh2_dlc14_def_scourgerunner_chariots
