effect	bonus_value_id	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/zzz_cbfm_chaos_veterans		
wh3_dlc20_effect_force_stat_leadership_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	morale	mp_cap_unit_bst_mon_ghorgon_ror
wh3_dlc20_effect_force_stat_leadership_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	morale	mp_cap_unit_chs_mon_chaos_spawn_ror_0
wh3_dlc20_effect_force_stat_leadership_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	morale	mp_cap_unit_chs_mon_dragon_ogre_ror_0
wh3_dlc20_effect_force_stat_leadership_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	morale	mp_cap_unit_chs_mon_giant_mnur_ror
wh3_dlc20_effect_force_stat_melee_attack_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	melee_attack_mod	mp_cap_unit_bst_mon_ghorgon_ror
wh3_dlc20_effect_force_stat_melee_attack_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	melee_attack_mod	mp_cap_unit_chs_mon_chaos_spawn_ror_0
wh3_dlc20_effect_force_stat_melee_attack_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	melee_attack_mod	mp_cap_unit_chs_mon_dragon_ogre_ror_0
wh3_dlc20_effect_force_stat_melee_attack_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	melee_attack_mod	mp_cap_unit_chs_mon_giant_mnur_ror
wh3_dlc20_effect_force_stat_physical_resistance_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	unit_damage_resistance_all_mod	mp_cap_unit_bst_mon_ghorgon_ror
wh3_dlc20_effect_force_stat_physical_resistance_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	unit_damage_resistance_all_mod	mp_cap_unit_chs_mon_chaos_spawn_ror_0
wh3_dlc20_effect_force_stat_physical_resistance_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	unit_damage_resistance_all_mod	mp_cap_unit_chs_mon_dragon_ogre_ror_0
wh3_dlc20_effect_force_stat_physical_resistance_chs_monsterous_infantry_monsters_dragon_ogre_units_rank7	unit_damage_resistance_all_mod	mp_cap_unit_chs_mon_giant_mnur_ror
wh3_dlc20_effect_force_stat_armour_chs_infantry_units_rank7	armour_mod	mp_cap_unit_nor_inf_marauder_berserkers_ror_0
wh3_dlc20_effect_force_stat_armour_chs_infantry_units_rank7	armour_mod	mp_cap_unit_nur_inf_plaguebearers_ror_0
wh3_dlc20_effect_force_stat_armour_chs_infantry_units_rank7	armour_mod	mp_cap_unit_kho_inf_bloodletters_ror_0
wh3_dlc20_effect_force_stat_armour_chs_infantry_units_rank7	armour_mod	mp_cap_unit_sla_inf_daemonette_ror_0
wh3_dlc20_effect_force_stat_armour_chs_infantry_units_rank7	armour_mod	mp_cap_unit_chs_inf_aspiring_champions_mtze_ror
wh3_dlc20_effect_force_stat_armour_chs_infantry_units_rank7	armour_mod	mp_cap_unit_chs_inf_chaos_warriors_ror
wh3_dlc20_effect_force_stat_armour_chs_infantry_units_rank7	armour_mod	mp_cap_unit_chs_inf_forsaken_ror_0
wh3_dlc20_effect_force_stat_melee_defence_chs_infantry_units_rank7	melee_defence_mod	mp_cap_unit_nor_inf_marauder_berserkers_ror_0
