bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/zzz_cbfm_chs_chimera_dreadmaw		
melee_damage_ap_mod_mult	wh3_dlc20_effect_force_stat_speed_chs_monsters_beasts	wh3_dlc27_nor_dreadmaw
melee_damage_mod_mult	wh3_dlc20_effect_force_stat_speed_chs_monsters_beasts	wh3_dlc27_nor_dreadmaw
melee_attack_mod	wh3_dlc20_effect_force_stat_melee_attack_chs_monsters_beasts	wh3_dlc27_nor_dreadmaw
melee_attack_mod	wh3_dlc20_effect_force_stat_melee_attack_chs_monsters_beasts	wh3_dlc27_nor_mon_chimera
melee_damage_ap_mod_mult	wh3_dlc20_effect_force_stat_speed_chs_monsters_beasts	wh3_dlc27_nor_mon_chimera
melee_damage_mod_mult	wh3_dlc20_effect_force_stat_speed_chs_monsters_beasts	wh3_dlc27_nor_mon_chimera
mod_land_movement_battle	wh3_dlc20_effect_force_stat_speed_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	cbfm_chimera_ror
melee_attack_mod	wh3_dlc20_effect_force_stat_melee_attack_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	cbfm_chimera_vet
unit_damage_resistance_missile_mod	wh3_dlc20_effect_force_stat_missile_resistance_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	cbfm_chimera_vet
mod_land_movement_battle	wh3_dlc20_effect_force_stat_speed_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	cbfm_chimera_vet
melee_attack_mod	wh3_dlc20_effect_force_stat_melee_attack_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	cbfm_chimera_ror
unit_damage_resistance_missile_mod	wh3_dlc20_effect_force_stat_missile_resistance_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	cbfm_chimera_ror
melee_attack_mod	wh3_dlc20_effect_force_stat_melee_attack_chs_monsters_beasts	cbfm_chimera_ror
melee_damage_ap_mod_mult	wh3_dlc20_effect_force_stat_speed_chs_monsters_beasts	cbfm_chimera_ror
melee_damage_mod_mult	wh3_dlc20_effect_force_stat_speed_chs_monsters_beasts	cbfm_chimera_ror
