bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/zzz_cbfm_kfranz_apmelee_elector		
melee_damage_ap_mod_mult	wh3_dlc25_effect_additional_rank_bonus_state_troops	emp_state_troops_1
melee_damage_ap_mod_mult	wh3_dlc25_effect_additional_rank_bonus_state_troops	emp_state_troops_2
melee_damage_ap_mod_mult	wh3_dlc25_effect_additional_rank_bonus_state_troops	emp_state_troops_3
melee_damage_ap_mod_mult	wh3_dlc25_effect_additional_rank_bonus_state_troops	emp_state_troops_4
melee_damage_ap_mod_mult	wh3_dlc25_effect_additional_rank_bonus_state_troops	emp_state_troops_5
melee_damage_ap_mod_mult	wh3_dlc25_effect_additional_rank_bonus_state_troops	emp_state_troops_6
melee_damage_ap_mod_mult	wh3_dlc25_effect_additional_rank_bonus_state_troops	emp_state_troops_7
melee_damage_ap_mod_mult	wh3_dlc25_effect_additional_rank_bonus_state_troops	emp_state_troops_8
melee_damage_ap_mod_mult	wh3_dlc25_effect_additional_rank_bonus_state_troops	emp_state_troops_9
