bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/zzz_cbfm_rank7_empire		
missile_damage_ap_mod_mult	wh2_dlc11_effect_force_stat_missile_damage_emp_free_company_crossbowmen_handgunners_pistoliers_outriders_rank7	zzz_cbfm_rank7_emp_missile_and_missile_cav_ror
missile_damage_mod_mult	wh2_dlc11_effect_force_stat_missile_damage_emp_free_company_crossbowmen_handgunners_pistoliers_outriders_rank7	zzz_cbfm_rank7_emp_missile_and_missile_cav_ror
unit_damage_resistance_missile_mod	wh2_dlc11_effect_force_stat_missile_resistance_emp_free_company_huntsmen_crossbowmen_handgunners_pistoliers_outriders_rank7	zzz_cbfm_rank7_emp_missile_and_missile_cav_ror
reload	wh2_dlc11_effect_skill_reload_increase_emp_free_company_crossbowmen_huntsmen_archers_handgunners_pistoliers_outriders_rank7	zzz_cbfm_rank7_emp_missile_and_missile_cav_ror
armour_mod	wh2_dlc11_effect_force_stat_armour_emp_greatswords_spearmen_swordsmen_flagellants_rank7	zzz_cbfm_rank7_emp_infantry_ror
unit_damage_resistance_physical_mod	wh2_dlc11_effect_force_stat_physical_resistance_increase_emp_greatswords_spearmen_swordsmen_flagellants_rank7	zzz_cbfm_rank7_emp_infantry_ror
melee_defence_mod	wh2_dlc11_effect_skill_melee_defence_increase_emp_greatswords_spearmen_swordsmen_flagellants_rank7	zzz_cbfm_rank7_emp_infantry_ror
melee_attack_mod	wh2_dlc11_effect_force_stat_melee_attack_emp_knights_demigryphs_rank7	zzz_cbfm_rank7_emp_cavalry_ror
morale	wh2_dlc11_effect_skill_morale_increase_emp_knights_demigryphs_rank7	zzz_cbfm_rank7_emp_cavalry_ror
charge_add	wh3_dlc25_effect_skill_charge_bonus_emp_knights_demigryphs_rank7	zzz_cbfm_rank7_emp_cavalry_ror
