effect	bonus_value_id	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/zzz_cbfm_redcrestedskinks		
wh2_HV_effect_force_redcrested_skink_ark_of_sotek_campaign_replenishment_rate	replenishment_percentage_bonus	lzd_skinks
wh2_HV_effect_force_redcrested_skink_ark_of_sotek_campaign_replenishment_rate	replenishment_percentage_bonus	wh2_dlc12_lzd_mon_bastiladon_3
wh2_HV_lzd_armour_redcrested_skink_ark_of_sotek	armour_mod	lzd_skinks
wh2_HV_lzd_armour_redcrested_skink_ark_of_sotek	armour_mod	wh2_dlc12_lzd_mon_bastiladon_3
wh2_HV_lzd_melee_attack_redcrested_skink	melee_attack_mod	lzd_skinks
wh2_HV_lzd_morale_redcrested_skink_ark_of_sotek	morale	lzd_skinks
wh2_HV_lzd_morale_redcrested_skink_ark_of_sotek	morale	wh2_dlc12_lzd_mon_bastiladon_3
wh2_HV_lzd_upkeep_redcrested_skink_ark_of_sotek	upkeep_mod	lzd_skinks
wh2_HV_lzd_upkeep_redcrested_skink_ark_of_sotek	upkeep_mod	wh2_dlc12_lzd_mon_bastiladon_3
