bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/zzz_cbfm_tzeentchredline		
charge_add	wh3_main_effect_force_stat_charge_bonus_tze_forsaken_spawn	chosen_mtze
battle_barrier_health_mod	wh3_main_effect_force_stat_damage_tze_horrors	chosen_mtze
battle_barrier_health_mod	wh3_main_effect_force_stat_damage_tze_horrors	merc_set_chs_marauder_horsemen_tze
missile_damage_ap_mod_mult	wh3_main_effect_force_stat_missile_damage_tze_horrors	merc_set_chs_marauder_horsemen_tze
missile_damage_mod_mult	wh3_main_effect_force_stat_missile_damage_tze_horrors	merc_set_chs_marauder_horsemen_tze
melee_damage_ap_mod_mult	wh3_main_effect_force_stat_weapon_strength_tze_knights_doom_knights	chs_chariots_mtze
melee_damage_mod_mult	wh3_main_effect_force_stat_weapon_strength_tze_knights_doom_knights	chs_chariots_mtze
charge_bonus	wh3_main_effect_force_stat_charge_bonus_pct_tze_knights_doom_knights	chs_chariots_mtze
morale	wh3_main_effect_force_stat_leadership_tze_horrors_rank7	cbfm_chs_marauder_horsemen_tze_rank7
unit_damage_resistance_missile_mod	wh3_main_effect_force_stat_missile_resistance_tze_horrors_rank7	cbfm_chs_marauder_horsemen_tze_rank7
mod_land_movement_battle	wh3_main_effect_force_stat_speed_tze_horrors_rank7	cbfm_chs_marauder_horsemen_tze_rank7
armour_mod	wh3_main_effect_force_stat_armour_tze_knights_furies_screamers_rank7	chs_chariot_plain_rank7
morale	wh3_main_effect_force_stat_leadership_tze_knights_furies_screamers_rank7	chs_chariot_plain_rank7
morale	wh3_main_effect_force_stat_leadership_tze_knights_furies_screamers_rank7	chs_chosen_rank7
unit_damage_resistance_missile_mod	wh3_main_effect_force_stat_missile_resistance_tze_knights_furies_screamers_rank7	chs_chosen_rank7
unit_damage_resistance_missile_mod	wh3_main_effect_force_stat_missile_resistance_tze_knights_furies_screamers_rank7	chs_chariot_plain_rank7
armour_mod	cbfm_tzechosendebuff	chosen_mtze
armour_mod	wh3_main_effect_force_stat_armour_tze_knights_furies_screamers_rank7	chs_chosen_rank7
