bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/zzz_cbfm_grom_ammo_replacer_ror_fix__		
enable	wh2_dlc15_projectile_replacement_goblin_anti_large_arrow	214749001
enable	wh2_dlc15_projectile_replacement_goblin_ap_arrow	214749002
enable	wh2_dlc15_projectile_replacement_goblin_explosive_arrow	214749003
enable	wh2_dlc15_projectile_replacement_goblin_fire_arrow	214749004
enable	wh2_dlc15_projectile_replacement_goblin_multi_shot	214749005
enable	wh2_dlc15_projectile_replacement_goblin_anti_large_arrow	214749006
enable	wh2_dlc15_projectile_replacement_goblin_ap_arrow	214749007
enable	wh2_dlc15_projectile_replacement_goblin_explosive_arrow	214749008
enable	wh2_dlc15_projectile_replacement_goblin_fire_arrow	214749009
enable	wh2_dlc15_projectile_replacement_goblin_multi_shot	214749010
enable	wh2_dlc15_projectile_replacement_goblin_anti_large_arrow	214749011
enable	wh2_dlc15_projectile_replacement_goblin_ap_arrow	214749012
enable	wh2_dlc15_projectile_replacement_goblin_explosive_arrow	214749013
enable	wh2_dlc15_projectile_replacement_goblin_fire_arrow	214749014
enable	wh2_dlc15_projectile_replacement_goblin_multi_shot	214749015
enable	wh2_dlc15_projectile_replacement_goblin_anti_large_arrow	214749016
enable	wh2_dlc15_projectile_replacement_goblin_ap_arrow	214749017
enable	wh2_dlc15_projectile_replacement_goblin_explosive_arrow	214749018
enable	wh2_dlc15_projectile_replacement_goblin_multi_shot	214749019
