bonus_value_id	effect	teleportation_node_template
#effect_bonus_value_teleportation_node_template_junctions_tables;0;db/effect_bonus_value_teleportation_node_template_junctions_tables/zzz_cbfm_aislinn_sealane		
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_dlc23_teleportation_node_template_chaos_dwarf_canal
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_main_teleportation_node_template_aislinn_east
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_main_teleportation_node_template_aislinn_north
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_main_teleportation_node_template_aislinn_south
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_main_teleportation_node_template_aislinn_west
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_main_teleportation_node_template_jade_to_dread
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_main_teleportation_node_template_jade_to_far_sea
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_main_teleportation_node_template_jade_to_lustria_gulf
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_main_teleportation_node_template_lokhir_north
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_main_teleportation_node_template_lokhir_south
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_main_teleportation_node_template_lokhir_west
travel_time_mod	wh3_dlc27_effect_sea_lane_travel_time_instant_hidden	wh3_main_teleportation_node_template_underworld_sea
