effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/zzz_cbfm_mistmage_cdr		
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh3_dlc27_spell_mists_flensing_haar
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh3_dlc27_spell_mists_flensing_haar_upgraded
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh3_dlc27_spell_mists_ladrielles_shroud
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh3_dlc27_spell_mists_ladrielles_shroud_upgraded
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh3_dlc27_spell_mists_mathlanns_spite
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh3_dlc27_spell_mists_mathlanns_spite_upgraded
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh3_dlc27_spell_mists_mistress_of_the_deeps
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh3_dlc27_spell_mists_the_writhing_mist
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh3_dlc27_spell_mists_the_writhing_mist_upgraded
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh3_dlc27_spell_mists_walk_between_worlds
wh2_main_effect_ability_cooldown_spells	recharge_mod	wh3_dlc27_spell_mists_walk_between_worlds_upgraded
