effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/Wom_costs_recharge_time_overcastspells_fix		
wh3_main_effect_ability_wom_cost_pct_shadows_spells	cost_percentage_mod	wh_dlc05_spell_shadow_pit_of_shades_upgraded
wh3_main_effect_ability_wom_cost_pct_shadows_spells	cost_percentage_mod	wh_dlc05_spell_shadow_melkoths_mystifying_miasma_upgraded
wh3_main_effect_ability_wom_cost_pct_shadows_spells	cost_percentage_mod	wh_dlc05_spell_shadow_okkams_mindrazor_upgraded
wh3_main_effect_ability_wom_cost_pct_shadows_spells	cost_percentage_mod	wh_dlc05_spell_shadow_the_enfeebling_foe_upgraded
wh3_main_effect_ability_wom_cost_pct_shadows_spells	cost_percentage_mod	wh_dlc05_spell_shadow_the_penumbral_pendulum_upgraded
wh3_main_effect_ability_wom_cost_pct_shadows_spells	cost_percentage_mod	wh_dlc05_spell_shadow_the_withering_upgraded
wh3_main_effect_ability_cooldown_lore_of_shadows	recharge_mod	wh_dlc05_spell_shadow_pit_of_shades_upgraded
wh3_main_effect_ability_cooldown_lore_of_shadows	recharge_mod	wh_dlc05_spell_shadow_melkoths_mystifying_miasma_upgraded
wh3_main_effect_ability_cooldown_lore_of_shadows	recharge_mod	wh_dlc05_spell_shadow_okkams_mindrazor_upgraded
wh3_main_effect_ability_cooldown_lore_of_shadows	recharge_mod	wh_dlc05_spell_shadow_the_enfeebling_foe_upgraded
wh3_main_effect_ability_cooldown_lore_of_shadows	recharge_mod	wh_dlc05_spell_shadow_the_penumbral_pendulum_upgraded
wh3_main_effect_ability_cooldown_lore_of_shadows	recharge_mod	wh_dlc05_spell_shadow_the_withering_upgraded
wh3_main_effect_ability_wom_cost_pct_tzeentch_spells	cost_percentage_mod	wh3_main_spell_tzeentch_glean_magic_upgraded
wh3_main_effect_ability_wom_cost_pct_tzeentch_spells	cost_percentage_mod	wh3_main_spell_tzeentch_infernal_gateway_upgraded
wh3_main_effect_ability_wom_cost_pct_tzeentch_spells	cost_percentage_mod	wh3_main_spell_tzeentch_pink_fire_of_tzeentch_upgraded
wh3_main_effect_ability_wom_cost_pct_tzeentch_spells	cost_percentage_mod	wh3_main_spell_tzeentch_treason_of_tzeentch_upgraded
wh3_main_effect_ability_wom_cost_pct_tzeentch_spells	cost_percentage_mod	wh3_main_spell_tzeentch_tzeentchs_firestorm_upgraded
wh3_main_effect_ability_wom_cost_pct_tzeentch_spells	cost_percentage_mod	wh3_main_spell_tzeentch_blue_fire_of_tzeentch_upgraded
wh3_main_effect_ability_cooldown_lore_of_fire	recharge_mod	wh_main_spell_fire_piercing_bolts_of_burning_upgraded
wh3_main_effect_ability_wom_cost_pct_fire_spells	cost_percentage_mod	wh_main_spell_fire_the_burning_head_upgraded
wh3_main_effect_ability_wom_cost_pct_death_spells	cost_percentage_mod	wh_main_spell_death_the_purple_sun_of_xereus_upgraded
wh3_main_effect_ability_wom_cost_pct_death_spells	cost_percentage_mod	wh_main_spell_death_soulblight_upgraded
wh3_main_effect_ability_wom_cost_pct_heavens_spells	cost_percentage_mod	wh_main_spell_heavens_comet_of_casandora_upgraded
wh3_main_effect_ability_wom_cost_pct_heavens_spells	cost_percentage_mod	wh_main_spell_heavens_curse_of_the_midnight_wind_upgraded
wh3_main_effect_ability_cooldown_lore_of_heavens	recharge_mod	wh_main_spell_heavens_comet_of_casandora_upgraded
wh3_main_effect_ability_cooldown_lore_of_heavens	recharge_mod	wh_main_spell_heavens_curse_of_the_midnight_wind_upgraded
wh3_main_effect_ability_wom_cost_pct_light_spells	cost_percentage_mod	wh_main_spell_light_bironas_timewarp_upgraded
wh3_main_effect_ability_wom_cost_pct_light_spells	cost_percentage_mod	wh_main_spell_light_net_of_amyntok_upgraded
wh3_main_effect_ability_cooldown_lore_of_light	recharge_mod	wh_main_spell_light_bironas_timewarp_upgraded
wh3_main_effect_ability_cooldown_lore_of_light	recharge_mod	wh_main_spell_light_net_of_amyntok_upgraded
wh3_dlc20_effect_ability_wom_cost_pct_nurgle_spells	cost_percentage_mod	wh3_main_spell_nurgle_curse_of_the_leper_upgraded
wh3_dlc20_effect_ability_wom_cost_pct_nurgle_spells	cost_percentage_mod	wh3_main_spell_nurgle_fleshy_abundance_upgraded
wh3_dlc20_effect_ability_wom_cost_pct_nurgle_spells	cost_percentage_mod	wh3_main_spell_nurgle_miasma_of_pestilence_upgraded
wh3_dlc20_effect_ability_wom_cost_pct_nurgle_spells	cost_percentage_mod	wh3_main_spell_nurgle_pestilent_pustule_upgraded
wh3_dlc20_effect_ability_wom_cost_pct_nurgle_spells	cost_percentage_mod	wh3_main_spell_nurgle_rancid_visitations_upgraded
wh3_dlc20_effect_ability_wom_cost_pct_nurgle_spells	cost_percentage_mod	wh3_main_spell_nurgle_stream_of_corruption_upgraded
wh3_main_effect_ability_wom_cost_pct_death_spells	cost_percentage_mod	wh_main_spell_death_aspect_of_the_dreadknight_upgraded
wh3_main_effect_ability_wom_cost_pct_death_spells	cost_percentage_mod	wh_main_spell_death_spirit_leech_upgraded
wh3_main_effect_ability_wom_cost_pct_death_spells	cost_percentage_mod	wh_main_spell_death_doom_and_darkness_upgraded
wh3_main_effect_ability_wom_cost_pct_fire_spells	cost_percentage_mod	wh_main_spell_fire_flame_storm_upgraded
wh3_main_effect_ability_wom_cost_pct_fire_spells	cost_percentage_mod	wh_main_spell_fire_piercing_bolts_of_burning_upgraded
wh3_main_effect_ability_wom_cost_pct_fire_spells	cost_percentage_mod	wh_main_spell_fire_fireball_upgraded
wh3_main_effect_ability_cooldown_lore_of_fire	recharge_mod	wh_main_spell_fire_flaming_sword_of_rhuin_upgraded
wh3_main_effect_ability_wom_cost_pct_fire_spells	cost_percentage_mod	wh_main_spell_fire_flaming_sword_of_rhuin_upgraded
wh3_main_effect_ability_cooldown_lore_of_beasts	recharge_mod	wh_dlc03_spell_beasts_the_curse_of_anraheir_upgraded
wh3_main_effect_ability_cooldown_lore_of_beasts	recharge_mod	wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded
