effect	bonus_value_id	unit_attribute
#effect_bonus_value_unit_attribute_junctions_tables;0;db/effect_bonus_value_unit_attribute_junctions_tables/data__		
wh2_dlc10_effect_attribute_enable_perfect_vigour	enable	fatigue_immune
wh2_dlc10_effect_attribute_enable_rampage	enable	rampage
wh2_dlc10_effect_attribute_enable_snipe	enable	snipe
wh2_dlc10_effect_unit_enable_attribute_rampage	enable	rampage
wh2_dlc15_effect_unit_enable_attribute_charge_defence_against_large	enable	charge_defense_vs_large
wh2_dlc15_effect_unit_enable_attribute_woodsman	enable	ignore_trees
wh2_dlc16_effect_force_enable_attribute_guerrilla_deployment_all	enable	guerrilla_deploy
wh2_dlc16_effect_unit_enable_attribute_encourage	enable	encourages
wh2_dlc16_effect_unit_enable_attribute_undead	enable	undead
wh3_main_effect_attribute_enable_devestating_flanker	enable	devastating_flanker
wh3_main_effect_attribute_enable_flight_hidden	enable	flying
wh3_main_effect_attribute_enable_flight	enable	flying
wh_dlc14_effect_unit_enable_attribute_unspottable	enable	unspottable
wh_main_effect_attribute_enable_causes_fear_hidden	enable	causes_fear
wh_main_effect_attribute_enable_causes_fear	enable	causes_fear
wh_main_effect_attribute_enable_causes_terror_hidden	enable	causes_terror
wh_main_effect_attribute_enable_causes_terror	enable	causes_terror
wh_main_effect_attribute_enable_encourage_hidden	enable	encourages
wh_main_effect_attribute_enable_encourage	enable	encourages
wh_main_effect_attribute_enable_expert_charge_defence	enable	charge_defense
wh_main_effect_attribute_enable_immune_to_psychology	enable	immune_to_psychology
wh_main_effect_attribute_enable_stalk	enable	stalk
wh_main_effect_attribute_enable_strider	enable	strider
wh_main_effect_attribute_enable_unbreakable	enable	unbreakable
wh_main_effect_attribute_enable_vanguard_deployment_hidden	enable	guerrilla_deploy
wh_main_effect_attribute_enable_vanguard_deployment	enable	guerrilla_deploy
wh_main_effect_unit_enable_attribute_guerrilla_deployment_dummy	enable	guerrilla_deploy
