effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/zzz_cbfm_6_3_1_update				
wh2_dlc12_bundle_anc_magic_standard_totem_pole_of_destiny	wh_main_effect_character_stat_ward_save	character_to_character_own_banner	15.0000	start_turn_completed
wh2_dlc12_lord_trait_lzd_lord_tiktaqto	wh3_main_effect_faction_blessed_capacity_count_tiktaqto	faction_to_faction_own_unseen	2.0000	start_turn_completed
wh2_dlc12_prophecy_of_sotek_stage_2	wh3_main_effect_faction_blessed_capacity_count	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh2_dlc12_prophecy_of_sotek_stage_3	wh3_main_effect_faction_blessed_capacity_count	faction_to_faction_own_unseen	2.0000	start_turn_completed
wh2_dlc17_threat_map_reward_army_marker_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_army_marker_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_army_marker_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_1_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_1_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_1_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_2_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_2_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_2_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_3_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_3_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_3_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_4_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_4_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_4_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_5_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_5_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_5_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_6_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_6_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_6_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_7_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_7_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_7_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_8_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_8_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_kill_army_8_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_norsca_region_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_norsca_region_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_norsca_region_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_1_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_1_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_1_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_2_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_2_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_2_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_3_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_3_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_3_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_4_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_4_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_4_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_5_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_5_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_5_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_6_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_6_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_6_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_7_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_7_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh2_dlc17_threat_map_reward_region_razed_7_medium	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh2_dlc17_threat_map_reward_sanctum_marker_easy	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh2_dlc17_threat_map_reward_sanctum_marker_hard	wh3_main_effect_pooled_resource_sacred_spawning_add_missions	faction_to_faction_own_unseen	20.0000	start_turn_completed
