effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/zzz_cbfm_belegar_underway_vanguard_fix				
wh_dlc06_lord_trait_dwf_belegar_ironhammer	bugfix_effect_attribute_vanguard_deploy_during_subterranean_hidden	faction_to_force_own_unseen	1.0000	start_turn_completed
wh_dlc06_lord_trait_dwf_belegar_ironhammer	bugfix_effect_attribute_vanguard_deploy_during_subterranean_siege_hidden	faction_to_force_own_unseen	1.0000	start_turn_completed
bugfix_bundle_stance_army_tunnelling_belegar	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance	army_to_army_own_unseen	1.0000	start_turn_completed
bugfix_bundle_stance_army_tunnelling_belegar	wh_main_effect_force_all_campaign_stance_ap_cost_dummy	army_to_army_own_unseen	100.0000	start_turn_completed
bugfix_bundle_stance_army_tunnelling_belegar	wh_main_effect_force_all_campaign_stance_cannot_attack_dummy	army_to_army_own_unseen	1.0000	start_turn_completed
bugfix_bundle_stance_army_tunnelling_belegar	wh_main_effect_force_army_campaign_ambush_defence_success_chance	army_to_army_own_unseen	25.0000	start_turn_completed
bugfix_bundle_stance_army_tunnelling_belegar	wh_main_effect_force_army_campaign_stance_tunnelling_interception_dummy	army_to_army_own_unseen	1.0000	start_turn_completed
bugfix_bundle_stance_army_tunnelling_belegar	wh_main_effect_force_army_campaign_stance_tunnelling_movement_dummy	army_to_army_own_unseen	1.0000	start_turn_completed
bugfix_bundle_stance_army_tunnelling_belegar	wh_main_effect_force_army_campaign_stance_tunnelling_retreat_dummy	army_to_army_own_unseen	1.0000	start_turn_completed
