effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/zzz_cbfm_itzl_double_dip				
wh2_dlc13_nakai_temple_itzl_1	debuff_cold_horned_ones_charge	faction_to_force_own	-10.0000	start_turn_completed
wh2_dlc13_nakai_temple_itzl_2	debuff_cold_horned_ones_charge	faction_to_force_own	-10.0000	start_turn_completed
wh2_dlc13_nakai_temple_itzl_2	debuff_cold_horned_ones_melee_attack	faction_to_force_own	-5.0000	start_turn_completed
wh2_dlc13_nakai_temple_itzl_3	debuff_cold_horned_ones_charge	faction_to_force_own	-10.0000	start_turn_completed
wh2_dlc13_nakai_temple_itzl_3	debuff_cold_horned_ones_melee_attack	faction_to_force_own	-5.0000	start_turn_completed
wh2_dlc13_nakai_temple_itzl_4	debuff_cold_horned_ones_charge	faction_to_force_own	-10.0000	start_turn_completed
wh2_dlc13_nakai_temple_itzl_4	debuff_cold_horned_ones_melee_attack	faction_to_force_own	-5.0000	start_turn_completed
wh2_dlc13_nakai_temple_itzl_4	debuff_cold_horned_ones_weapon_strength	faction_to_force_own	-10.0000	start_turn_completed
wh2_dlc13_nakai_temple_itzl_5	debuff_cold_horned_ones_charge	faction_to_force_own	-10.0000	start_turn_completed
wh2_dlc13_nakai_temple_itzl_5	debuff_cold_horned_ones_melee_attack	faction_to_force_own	-5.0000	start_turn_completed
wh2_dlc13_nakai_temple_itzl_5	debuff_cold_horned_ones_weapon_strength	faction_to_force_own	-10.0000	start_turn_completed
