effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/zzz_cbfm_kho_corruption_MA				
wh3_main_bundle_corruption_khorne_bad_1-10	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_bad_11-20	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_bad_21-30	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_bad_31-40	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_bad_41-50	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_bad_51-60	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_bad_61-70	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_bad_71-80	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_bad_81-90	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_bad_91-100	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_daemons_1-10	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_daemons_11-20	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_daemons_21-30	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_daemons_31-40	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_daemons_41-50	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_daemons_51-60	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_daemons_61-70	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_daemons_71-80	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_daemons_81-90	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_daemons_91-100	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_skaven_1-10	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_skaven_11-20	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_skaven_21-30	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_skaven_31-40	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_skaven_41-50	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_skaven_51-60	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_skaven_61-70	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
wh3_main_bundle_corruption_khorne_skaven_71-80	wh_main_ie_effect_force_stat_melee_attack_add_khornate_hidden	province_to_force_any_provincewide	0.0000	start_turn_completed
