effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/zzz_cbfm_lzd_null_climate_fix				
mnd_main_effect_ignore_climate_penalties_hidden_forced_lzd	wh2_main_effect_building_construction_time_mod_all	region_to_region_own	-100.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_lzd	wh2_main_effect_climate_recruitment_duration_all	region_to_region_own	-1.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_lzd	wh3_main_effect_province_growth_climate	province_to_province_own_unseen	7.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_lzd	wh3_main_effect_public_order_climate	region_to_province_own_unseen	3.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_lzd	wh_main_effect_building_construction_cost_mod	region_to_region_own	-50.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_lzd	wh_main_effect_economy_gdp_mod_all	region_to_region_own	50.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_lzd	wh_main_effect_force_all_campaign_replenishment_rate	region_to_force_own	15.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_lzd	wh2_main_effect_building_construction_time_mod_settlement_percentage	region_to_region_own	-50.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_lzd	wh3_main_effect_public_order_climate	region_to_province_own_unseen	1.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_lzd	wh_main_effect_building_construction_cost_mod	region_to_region_own	-30.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_lzd	wh_main_effect_economy_gdp_mod_all	region_to_region_own	15.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_lzd	wh_main_effect_force_all_campaign_replenishment_rate	region_to_force_own	8.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl	wh2_main_effect_building_construction_time_mod_all	region_to_region_own	-100.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl	wh2_main_effect_climate_recruitment_duration_all	region_to_region_own	-1.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl	wh3_main_effect_province_growth_climate	province_to_province_own_unseen	7.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl	wh3_main_effect_public_order_climate	region_to_province_own_unseen	3.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl	wh_main_effect_building_construction_cost_mod	region_to_region_own	-50.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl	wh_main_effect_economy_gdp_mod_all	region_to_region_own	50.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl	wh_main_effect_force_all_campaign_replenishment_rate	region_to_force_own	15.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_ksl	wh2_main_effect_building_construction_time_mod_settlement_percentage	region_to_region_own	-50.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_ksl	wh3_main_effect_public_order_climate	region_to_province_own_unseen	1.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_ksl	wh_main_effect_building_construction_cost_mod	region_to_region_own	-30.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_ksl	wh_main_effect_economy_gdp_mod_all	region_to_region_own	15.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_ksl	wh_main_effect_force_all_campaign_replenishment_rate	region_to_force_own	8.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl_ata	wh2_main_effect_building_construction_time_mod_all	region_to_region_own	-100.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl_ata	wh2_main_effect_climate_recruitment_duration_all	region_to_region_own	-1.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl_ata	wh3_main_effect_province_growth_climate	province_to_province_own_unseen	7.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl_ata	wh3_main_effect_public_order_climate	region_to_province_own_unseen	3.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl_ata	wh_main_effect_building_construction_cost_mod	region_to_region_own	-50.0000	start_turn_completed
mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl_ata	wh_main_effect_economy_gdp_mod_all	region_to_region_own	50.0000	start_turn_completed
