effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/zzz_cbfm_volkmar_priests_and_electoral				
wh3_main_bundle_emp_volkmar_books_destroyed_1	wh2_dlc13_effect_upkeep_elector_count_units	faction_to_force_own_unseen	-5.0000	start_turn_completed
wh3_main_bundle_emp_volkmar_books_destroyed_2	wh2_dlc13_effect_upkeep_elector_count_units	faction_to_force_own_unseen	-10.0000	start_turn_completed
wh3_main_bundle_emp_volkmar_books_destroyed_3	wh2_dlc13_effect_upkeep_elector_count_units	faction_to_force_own_unseen	-20.0000	start_turn_completed
wh3_main_bundle_emp_volkmar_books_destroyed_4	wh2_dlc13_effect_upkeep_elector_count_units	faction_to_force_own_unseen	-30.0000	start_turn_completed
wh3_main_bundle_emp_volkmar_books_destroyed_5	wh2_dlc13_effect_upkeep_elector_count_units	faction_to_force_own_unseen	-40.0000	start_turn_completed
wh3_main_bundle_emp_volkmar_books_destroyed_6	wh2_dlc13_effect_upkeep_elector_count_units	faction_to_force_own_unseen	-50.0000	start_turn_completed
wh3_main_bundle_emp_volkmar_books_destroyed_7	wh2_dlc13_effect_upkeep_elector_count_units	faction_to_force_own_unseen	-60.0000	start_turn_completed
wh3_main_bundle_emp_volkmar_books_destroyed_8	wh2_dlc13_effect_upkeep_elector_count_units	faction_to_force_own_unseen	-70.0000	start_turn_completed
wh3_main_books_of_nagash_volkmar_reward_7	wh2_dlc17_effect_agent_recruitment_xp_witch_hunter_warrior_priest_empire	faction_to_province_own_unseen	5.0000	start_turn_completed
