agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/zzz_cbfm_eshinsorcs		
wizard	wh2_dlc12_skv_clan_fester	wh2_dlc14_skv_eshin_sorcerer
wizard	wh2_dlc12_skv_clan_mange	wh2_dlc14_skv_eshin_sorcerer
wizard	wh2_dlc15_skv_clan_ferrik	wh2_dlc14_skv_eshin_sorcerer
wizard	wh2_dlc15_skv_clan_kreepus	wh2_dlc14_skv_eshin_sorcerer
wizard	wh2_dlc15_skv_clan_volkn	wh2_dlc14_skv_eshin_sorcerer
wizard	wh2_dlc16_skv_clan_gritus	wh2_dlc14_skv_eshin_sorcerer
wizard	wh3_main_skv_clan_carrion	wh2_dlc14_skv_eshin_sorcerer
wizard	wh3_main_skv_clan_skrat	wh2_dlc14_skv_eshin_sorcerer
wizard	wh3_main_skv_clan_verms	wh2_dlc14_skv_eshin_sorcerer
