ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/zzz_cbfm_aquatic_strider_workaround	
cbfm_unit_passive_aquatic_strider	wh2_dlc13_lzd_cha_nakai_0
cbfm_unit_passive_aquatic_strider	wh2_dlc11_cst_mon_scurvy_dogs
cbfm_unit_passive_aquatic_strider	wh2_dlc17_lzd_inf_chameleon_stalkers_0
cbfm_unit_passive_aquatic_strider	wh2_dlc17_lzd_inf_chameleon_stalkers_0_blessed
cbfm_unit_passive_aquatic_strider	wh2_main_lzd_inf_chameleon_skinks_0
cbfm_unit_passive_aquatic_strider	wh2_main_lzd_inf_chameleon_skinks_blessed_0
cbfm_unit_passive_aquatic_strider	wh3_dlc27_hef_mon_sea_elemental
cbfm_unit_passive_aquatic_strider	wh3_dlc27_hef_inf_oceanids
cbfm_unit_passive_aquatic_strider	wh2_dlc17_lzd_cha_oxyotl_0
