ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/zzz_cbfm_def_cold_one_primal_instincts	
wh2_main_unit_passive_primal_instincts	wh2_dlc10_def_cha_sorceress_beasts_2
wh2_main_unit_passive_primal_instincts	wh2_dlc10_def_cha_sorceress_death_2
wh2_main_unit_passive_primal_instincts	wh2_dlc10_def_cha_supreme_sorceress_beasts_2
wh2_main_unit_passive_primal_instincts	wh2_dlc10_def_cha_supreme_sorceress_dark_2
wh2_main_unit_passive_primal_instincts	wh2_dlc10_def_cha_supreme_sorceress_death_2
wh2_main_unit_passive_primal_instincts	wh2_dlc10_def_cha_supreme_sorceress_fire_2
wh2_main_unit_passive_primal_instincts	wh2_dlc10_def_cha_supreme_sorceress_shadow_2
wh2_main_unit_passive_primal_instincts	wh2_dlc14_def_cha_malus_darkblade_1
wh2_main_unit_passive_primal_instincts	wh2_dlc14_def_cha_malus_darkblade_1_mp
wh2_main_unit_passive_primal_instincts	wh2_dlc14_def_cha_malus_darkblade_tzarkan_1
wh2_main_unit_passive_primal_instincts	wh2_dlc14_def_cha_master_2
wh2_main_unit_passive_primal_instincts	wh2_main_def_cha_dreadlord_2
wh2_main_unit_passive_primal_instincts	wh2_main_def_cha_dreadlord_female_2
wh2_main_unit_passive_primal_instincts	wh2_main_def_cha_malekith_1
wh2_main_unit_passive_primal_instincts	wh2_main_def_cha_sorceress_dark_2
wh2_main_unit_passive_primal_instincts	wh2_main_def_cha_sorceress_fire_2
wh2_main_unit_passive_primal_instincts	wh2_main_def_cha_sorceress_shadow_2
wh2_main_unit_passive_primal_instincts	wh2_dlc14_def_cha_master_4
wh2_main_unit_passive_primal_instincts	wh2_main_def_cha_malekith_2
