faction_set	unit	recruitment_cost
#main_unit_faction_overrides_tables;0;db/main_unit_faction_overrides_tables/zzz_cbfm_khorne_recruitment_costs		
subcult_khorne	wh3_dlc20_chs_inf_chaos_marauders_mkho_dualweapons	1150
subcult_khorne	wh3_dlc20_chs_inf_chaos_marauders_mkho	850
subcult_khorne	wh3_dlc20_chs_mon_warshrine_mkho	2600
subcult_khorne	wh3_dlc20_kho_cav_skullcrushers_mkho_ror	1900
subcult_khorne	wh3_dlc20_chs_cav_chaos_chariot_mkho	1750
subcult_khorne	wh3_dlc20_chs_cav_chaos_knights_mkho	3000
subcult_khorne	wh3_dlc20_chs_cav_chaos_knights_mkho_lances	3200
subcult_khorne	wh3_dlc20_chs_cav_marauder_horsemen_mkho_throwing_axes	1350
subcult_khorne	wh3_dlc20_chs_inf_chosen_mkho	2600
subcult_khorne	wh3_dlc20_chs_inf_chosen_mkho_dualweapons	2900
subcult_khorne	wh3_dlc20_chs_inf_forsaken_mkho	1600
