ministerial_position	agent_subtype
#ministerial_positition_to_subtype_restrictions_tables;0;db/ministerial_positition_to_subtype_restrictions_tables/zzz_cbfm_sisteroffice	
wh2_dlc16_minister_wef_sisters_isha	wh_dlc05_wef_glade_lord
wh2_dlc16_minister_wef_sisters_kurnous	wh_dlc05_wef_glade_lord
wh2_dlc16_minister_wef_sisters_loec	wh_dlc05_wef_glade_lord
wh2_dlc16_minister_wef_sisters_isha	wh_dlc05_wef_glade_lord_fem
wh2_dlc16_minister_wef_sisters_kurnous	wh_dlc05_wef_glade_lord_fem
wh2_dlc16_minister_wef_sisters_loec	wh_dlc05_wef_glade_lord_fem
wh2_dlc16_minister_wef_sisters_isha	wh_dlc05_wef_ancient_treeman
wh2_dlc16_minister_wef_sisters_kurnous	wh_dlc05_wef_ancient_treeman
wh2_dlc16_minister_wef_sisters_loec	wh_dlc05_wef_ancient_treeman
wh2_dlc16_minister_wef_sisters_isha	wh_dlc05_wef_durthu
wh2_dlc16_minister_wef_sisters_kurnous	wh_dlc05_wef_durthu
wh2_dlc16_minister_wef_sisters_loec	wh_dlc05_wef_durthu
wh2_dlc16_minister_wef_sisters_isha	wh2_dlc16_wef_sisters_of_twilight
wh2_dlc16_minister_wef_sisters_kurnous	wh2_dlc16_wef_sisters_of_twilight
wh2_dlc16_minister_wef_sisters_loec	wh2_dlc16_wef_sisters_of_twilight
wh2_dlc16_minister_wef_sisters_isha	wh_dlc05_wef_orion
wh2_dlc16_minister_wef_sisters_kurnous	wh_dlc05_wef_orion
wh2_dlc16_minister_wef_sisters_loec	wh_dlc05_wef_orion
wh2_dlc16_minister_wef_sisters_darkweaver	wh2_dlc16_wef_spellweaver_shadows
wh2_dlc16_minister_wef_sisters_highweaver	wh2_dlc16_wef_spellweaver_shadows
wh2_dlc16_minister_wef_sisters_isha	wh2_dlc16_wef_spellweaver_beasts
wh2_dlc16_minister_wef_sisters_isha	wh2_dlc16_wef_spellweaver_dark
wh2_dlc16_minister_wef_sisters_isha	wh2_dlc16_wef_spellweaver_high
wh2_dlc16_minister_wef_sisters_isha	wh2_dlc16_wef_spellweaver_shadows
wh2_dlc16_minister_wef_sisters_kurnous	wh2_dlc16_wef_spellweaver_life
wh2_dlc16_minister_wef_sisters_kurnous	wh2_dlc16_wef_spellweaver_dark
wh2_dlc16_minister_wef_sisters_kurnous	wh2_dlc16_wef_spellweaver_high
wh2_dlc16_minister_wef_sisters_kurnous	wh2_dlc16_wef_spellweaver_shadows
wh2_dlc16_minister_wef_sisters_loec	wh2_dlc16_wef_spellweaver_life
wh2_dlc16_minister_wef_sisters_loec	wh2_dlc16_wef_spellweaver_dark
wh2_dlc16_minister_wef_sisters_loec	wh2_dlc16_wef_spellweaver_high
wh2_dlc16_minister_wef_sisters_loec	wh2_dlc16_wef_spellweaver_beasts
