ministerial_position	agent_subtype
#ministerial_positition_to_subtype_restrictions_tables;0;db/ministerial_positition_to_subtype_restrictions_tables/zzz_drycha_office	
wh2_dlc16_minister_wef_drycha_speaker_embittered	wh_dlc05_wef_glade_lord
wh2_dlc16_minister_wef_drycha_speaker_embittered	wh_dlc05_wef_glade_lord_fem
wh2_dlc16_minister_wef_drycha_speaker_embittered	wh2_dlc16_wef_sisters_of_twilight
wh2_dlc16_minister_wef_drycha_speaker_embittered	wh2_dlc16_wef_spellweaver_beasts
wh2_dlc16_minister_wef_drycha_speaker_embittered	wh2_dlc16_wef_spellweaver_dark
wh2_dlc16_minister_wef_drycha_speaker_embittered	wh2_dlc16_wef_spellweaver_high
wh2_dlc16_minister_wef_drycha_speaker_embittered	wh2_dlc16_wef_spellweaver_life
wh2_dlc16_minister_wef_drycha_speaker_embittered	wh2_dlc16_wef_spellweaver_shadows
wh2_dlc16_minister_wef_drycha_speaker_embittered	wh_dlc05_wef_orion
wh2_dlc16_minister_wef_drycha_speaker_forgotten	wh_dlc05_wef_glade_lord
wh2_dlc16_minister_wef_drycha_speaker_forgotten	wh_dlc05_wef_glade_lord_fem
wh2_dlc16_minister_wef_drycha_speaker_forgotten	wh2_dlc16_wef_sisters_of_twilight
wh2_dlc16_minister_wef_drycha_speaker_forgotten	wh2_dlc16_wef_spellweaver_beasts
wh2_dlc16_minister_wef_drycha_speaker_forgotten	wh2_dlc16_wef_spellweaver_dark
wh2_dlc16_minister_wef_drycha_speaker_forgotten	wh2_dlc16_wef_spellweaver_high
wh2_dlc16_minister_wef_drycha_speaker_forgotten	wh2_dlc16_wef_spellweaver_life
wh2_dlc16_minister_wef_drycha_speaker_forgotten	wh2_dlc16_wef_spellweaver_shadows
wh2_dlc16_minister_wef_drycha_speaker_forgotten	wh_dlc05_wef_orion
wh2_dlc16_minister_wef_drycha_speaker_lost	wh_dlc05_wef_glade_lord
wh2_dlc16_minister_wef_drycha_speaker_lost	wh_dlc05_wef_glade_lord_fem
wh2_dlc16_minister_wef_drycha_speaker_lost	wh2_dlc16_wef_sisters_of_twilight
wh2_dlc16_minister_wef_drycha_speaker_lost	wh2_dlc16_wef_spellweaver_beasts
wh2_dlc16_minister_wef_drycha_speaker_lost	wh2_dlc16_wef_spellweaver_dark
wh2_dlc16_minister_wef_drycha_speaker_lost	wh2_dlc16_wef_spellweaver_high
wh2_dlc16_minister_wef_drycha_speaker_lost	wh2_dlc16_wef_spellweaver_life
wh2_dlc16_minister_wef_drycha_speaker_lost	wh2_dlc16_wef_spellweaver_shadows
wh2_dlc16_minister_wef_drycha_speaker_lost	wh_dlc05_wef_orion
wh2_dlc16_minister_wef_drycha_speaker_wild	wh_dlc05_wef_glade_lord
wh2_dlc16_minister_wef_drycha_speaker_wild	wh_dlc05_wef_glade_lord_fem
wh2_dlc16_minister_wef_drycha_speaker_wild	wh2_dlc16_wef_sisters_of_twilight
wh2_dlc16_minister_wef_drycha_speaker_wild	wh2_dlc16_wef_spellweaver_beasts
wh2_dlc16_minister_wef_drycha_speaker_wild	wh2_dlc16_wef_spellweaver_dark
wh2_dlc16_minister_wef_drycha_speaker_wild	wh2_dlc16_wef_spellweaver_high
wh2_dlc16_minister_wef_drycha_speaker_wild	wh2_dlc16_wef_spellweaver_life
wh2_dlc16_minister_wef_drycha_speaker_wild	wh2_dlc16_wef_spellweaver_shadows
wh2_dlc16_minister_wef_drycha_speaker_wild	wh_dlc05_wef_orion
