unique_id	factor	resource	minimum	maximum	specific_faction_set
#pooled_resource_factor_junctions_tables;2;db/pooled_resource_factor_junctions_tables/zzz_woodelf_cadai_tech					
wef_worldroots_athel_loren_technology	technology	wef_worldroots_athel_loren	0	2147483647	
wef_worldroots_emerald_pools_technology	technology	wef_worldroots_emerald_pools	0	2147483647	
wef_worldroots_gaean_vale_technology	technology	wef_worldroots_gaean_vale	0	2147483647	
wef_worldroots_gryphon_wood_technology	technology	wef_worldroots_gryphon_wood	0	2147483647	
wef_worldroots_heart_of_the_jungle_technology	technology	wef_worldroots_heart_of_the_jungle	0	2147483647	
wef_worldroots_jungles_of_chian_technology	technology	wef_worldroots_jungles_of_chian	0	2147483647	
wef_worldroots_laurelorn_technology	technology	wef_worldroots_laurelorn	0	2147483647	
wef_worldroots_naggarond_glade_technology	technology	wef_worldroots_naggarond_glade	0	2147483647	
wef_worldroots_the_haunted_forest_technology	technology	wef_worldroots_the_haunted_forest	0	2147483647	
wef_worldroots_vale_of_webs_technology	technology	wef_worldroots_vale_of_webs	0	2147483647	
