key	detonator_type	detonation_type	detonation_radius	detonation_duration	detonation_speed	detonation_damage	shrapnel	explosion_particle_effect	fuse_distance_from_target	explosion_particle_effect_on_ground	explosion_audio	contact_phase_effect	ignition_amount	is_magical	detonation_damage_ap	camera_shake	detonation_force	fuse_fixed_time	affects_allies	is_spell
#projectiles_explosions_tables;19;db/projectiles_explosions_tables/zzz_cbfm_miscast_spell																				
wh2_dlc14_stealth_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh2_dlc17_rune_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh2_main_skaven_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh2_dlc12_skv_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_dlc03_spell_beasts_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_dlc03_spell_wild_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_dlc05_spell_life_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_main_big_waaagh_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_main_death_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_main_fire_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_main_generic_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_main_heavens_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_main_light_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_main_lil_waaagh_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_main_metal_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
wh_main_vampires_miscast	percussive	shockwave	3.0000	1.0000	12.0000	288.0000		wh_main_generic_miscast	0.0000		wh2_magic_miscast_generic		0.0000	true	300.0000	wh_main_unit_explosion_light	150.0000	-1.0000	true	true
