pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
#resource_cost_pooled_resource_junctions_tables;1;db/resource_cost_pooled_resource_junctions_tables/zzz_cbfm_6_3_1_update				
wh3_main_lzd_sacred_spawning_rites	wh2_dlc12_tehenhauin_sacrifice_blessed_carnosaur_0	150	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc12_tehenhauin_sacrifice_blessed_chameleon_0	40	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc12_tehenhauin_sacrifice_blessed_cold_one_cav_0	60	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc12_tehenhauin_sacrifice_blessed_kroxigors	80	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc12_tehenhauin_sacrifice_blessed_saurus_spears_1	60	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc12_tehenhauin_sacrifice_blessed_stegadon_1	150	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc12_tehenhauin_sacrifice_blessed_temple_guards	100	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc12_tehenhauin_sacrifice_blessed_terradon_riders_1	40	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc13_ritual_temple_itzl_2_saurus_warriors	40	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc13_ritual_temple_itzl_3_horned_ones	70	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc13_ritual_temple_itzl_4_kroxigors	50	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc13_ritual_temple_itzl_5_carnosaur	80	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc13_ritual_temple_quetzl_1_skink_skirmishers	20	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc13_ritual_temple_quetzl_2_saurus_spears	40	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc13_ritual_temple_quetzl_4_cold_one_spears	40	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc13_ritual_temple_quetzl_5_stegadon	70	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc13_ritual_temple_xholankha_2_blessed_terradon	30	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc13_ritual_temple_xholankha_4_blessed_temple_guard	60	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_dlc13_ritual_temple_xholankha_5_blessed_stegadon_solar	70	absolute	default
wh3_main_lzd_sacred_spawning_rites	wh2_main_ritual_lzd_awakening	250	absolute	default
wh3_main_canopic_jars_occupation	wh3_main_canopic_jars_occupation	50	absolute	default
canopic_jars_technology	wh3_main_tmb_dynasty_patronage	-500	absolute	default
