building_chain	settlement_type
#settlement_type_to_building_chains_junctions_tables;0;db/settlement_type_to_building_chains_junctions_tables/zzz_cbfm_chaos_cults_chorfs_fix	
wh3_main_kho_cult_1	wh3_dlc23_chd_tower
wh3_main_kho_cult_2	wh3_dlc23_chd_tower
wh3_main_kho_cult_3	wh3_dlc23_chd_tower
wh3_main_kho_cult_4	wh3_dlc23_chd_tower
wh3_main_nur_cult_1	wh3_dlc23_chd_tower
wh3_main_nur_cult_2	wh3_dlc23_chd_tower
wh3_main_nur_cult_3	wh3_dlc23_chd_tower
wh3_main_nur_cult_4	wh3_dlc23_chd_tower
wh3_main_sla_cult_1	wh3_dlc23_chd_tower
wh3_main_sla_cult_2	wh3_dlc23_chd_tower
wh3_main_sla_cult_3	wh3_dlc23_chd_tower
wh3_main_sla_cult_4	wh3_dlc23_chd_tower
wh3_main_tze_cult_1	wh3_dlc23_chd_tower
wh3_main_tze_cult_2	wh3_dlc23_chd_tower
wh3_main_tze_cult_3	wh3_dlc23_chd_tower
wh3_main_tze_cult_4	wh3_dlc23_chd_tower
wh3_main_kho_cult_1	wh3_dlc23_chd_outpost
wh3_main_kho_cult_2	wh3_dlc23_chd_outpost
wh3_main_kho_cult_3	wh3_dlc23_chd_outpost
wh3_main_kho_cult_4	wh3_dlc23_chd_outpost
wh3_main_nur_cult_1	wh3_dlc23_chd_outpost
wh3_main_nur_cult_2	wh3_dlc23_chd_outpost
wh3_main_nur_cult_3	wh3_dlc23_chd_outpost
wh3_main_nur_cult_4	wh3_dlc23_chd_outpost
wh3_main_sla_cult_1	wh3_dlc23_chd_outpost
wh3_main_sla_cult_2	wh3_dlc23_chd_outpost
wh3_main_sla_cult_3	wh3_dlc23_chd_outpost
wh3_main_sla_cult_4	wh3_dlc23_chd_outpost
wh3_main_tze_cult_1	wh3_dlc23_chd_outpost
wh3_main_tze_cult_2	wh3_dlc23_chd_outpost
wh3_main_tze_cult_3	wh3_dlc23_chd_outpost
wh3_main_tze_cult_4	wh3_dlc23_chd_outpost
wh3_main_kho_cult_1	wh3_dlc23_chd_factory
wh3_main_kho_cult_2	wh3_dlc23_chd_factory
wh3_main_kho_cult_3	wh3_dlc23_chd_factory
wh3_main_kho_cult_4	wh3_dlc23_chd_factory
wh3_main_nur_cult_1	wh3_dlc23_chd_factory
wh3_main_nur_cult_2	wh3_dlc23_chd_factory
wh3_main_nur_cult_3	wh3_dlc23_chd_factory
wh3_main_nur_cult_4	wh3_dlc23_chd_factory
wh3_main_sla_cult_1	wh3_dlc23_chd_factory
wh3_main_sla_cult_2	wh3_dlc23_chd_factory
wh3_main_sla_cult_3	wh3_dlc23_chd_factory
wh3_main_sla_cult_4	wh3_dlc23_chd_factory
wh3_main_tze_cult_1	wh3_dlc23_chd_factory
wh3_main_tze_cult_2	wh3_dlc23_chd_factory
wh3_main_tze_cult_3	wh3_dlc23_chd_factory
wh3_main_tze_cult_4	wh3_dlc23_chd_factory
