ability	default_amount	max_amount	intensity_source	intensity_type	intensity_decay_delay	intensity_decay_duration	reset_intensity_in_reinforcement_pool
#special_ability_intensity_settings_tables;3;db/special_ability_intensity_settings_tables/zzz_cbfm_lore_of_hags_intensity_fix							
wh3_dlc24_spell_hags_curse_of_the_ancient_witch	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh3_dlc24_spell_hags_curse_of_the_ancient_witch_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh3_dlc24_spell_hags_cursed_cauldron	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh3_dlc24_spell_hags_cursed_cauldron_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh3_dlc24_spell_hags_malediction_of_madness	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh3_dlc24_spell_hags_malediction_of_madness_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh3_dlc24_spell_hags_the_forbidden_fens	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh3_dlc24_spell_hags_the_forbidden_fens_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh3_dlc24_spell_hags_vengeance_of_spirits	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh3_dlc24_spell_hags_vengeance_of_spirits_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh3_dlc24_spell_hags_witchbrew	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh3_dlc24_spell_hags_witchbrew_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
