technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/zzz_cbfm_6_3_1_update			
wh2_dlc09_tech_tmb_dynasty_4	wh_main_effect_character_wound_recovery_time_mod	faction_to_character_own	-1.0000
wh2_dlc09_tech_tmb_dynasty_6	wh2_dlc10_effect_ability_enable_guardian	faction_to_character_own_lords_only	1.0000
wh2_dlc13_tech_lzd_guardian_4	wh3_main_effect_force_stat_unit_mass_kroxigors	faction_to_force_own_unseen	15.0000
wh2_dlc13_tech_lzd_nakai_war_2	wh3_main_effect_faction_blessed_capacity_count	faction_to_faction_own_unseen	1.0000
wh2_main_tech_lzd_1_1	wh3_main_effect_faction_blessed_capacity_count	faction_to_faction_own_unseen	1.0000
wh2_main_tech_lzd_1_1	wh3_main_effect_pooled_resource_sacred_spawning_mult_commandment	faction_to_faction_own_unseen	50.0000
wh2_dlc09_tech_tmb_dynasty_6	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	-20.0000
wh2_dlc13_tech_lzd_campaign_10	wh3_main_effect_pooled_resource_sacred_spawning_add_rites_mult	faction_to_faction_own_unseen	25.0000
wh3_main_ie_tech_nor_oldworld_kislev_capital	wh3_main_effect_force_stat_unit_mass_percentage_mod	faction_to_force_own_unseen	15.0000
