key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost	required_parents	pixel_offset_x	pixel_offset_y
#technology_nodes_tables;0;db/technology_nodes_tables/zzz_cbfm_tk_tech_fix														
wh2_dlc09_tech_tmb_faction_target_1			8	wh2_dlc09_tech_tmb_faction_target_1	tmb_mil	0	1	5000	0			0	0	0
wh2_dlc09_tech_tmb_faction_target_2			8	wh2_dlc09_tech_tmb_faction_target_2	tmb_mil	2	1	5000	0			0	0	0
wh2_dlc09_tech_tmb_faction_target_3			8	wh2_dlc09_tech_tmb_faction_target_3	tmb_mil	4	1	5000	0			0	0	0
wh2_dlc09_tech_tmb_faction_target_4			8	wh2_dlc09_tech_tmb_faction_target_4	tmb_mil	6	1	5000	0			0	0	0
wh2_dlc09_tech_tmb_faction_target_5			8	wh2_dlc09_tech_tmb_faction_target_5	tmb_mil	8	1	5000	0			0	0	0
wh2_dlc09_tech_tmb_faction_target_6			8	wh2_dlc09_tech_tmb_faction_target_6	tmb_mil	10	1	5000	0			0	0	0
wh2_dlc09_tech_tmb_liche_priest_2			3	wh2_dlc09_tech_tmb_liche_priest_2	tmb_mil	3	1	1000	0			0	0	0
wh2_dlc09_tech_tmb_liche_priest_3			2	wh2_dlc09_tech_tmb_liche_priest_3	tmb_mil	5	1	2500	0			0	0	0
wh2_dlc09_tech_tmb_liche_priest_4			2	wh2_dlc09_tech_tmb_liche_priest_4	tmb_mil	7	1	2500	0			0	0	0
wh2_dlc09_tech_tmb_liche_priest_6			3	wh2_dlc09_tech_tmb_liche_priest_6	tmb_mil	11	1	1000	0			0	0	0
wh2_dlc09_tech_tmb_necrotect_1			2	wh2_dlc09_tech_tmb_necrotect_1	tmb_mil	1	1	2500	0			0	0	0
wh2_dlc09_tech_tmb_necrotect_3			3	wh2_dlc09_tech_tmb_necrotect_3	tmb_mil	5	1	1000	0			0	0	0
wh2_dlc09_tech_tmb_necrotect_5			3	wh2_dlc09_tech_tmb_necrotect_5	tmb_mil	9	1	1000	0			0	0	0
wh2_dlc09_tech_tmb_necrotect_6			2	wh2_dlc09_tech_tmb_necrotect_6	tmb_mil	11	1	2500	0			0	0	0
wh2_dlc09_tech_tmb_tomb_prince_1			3	wh2_dlc09_tech_tmb_tomb_prince_1	tmb_mil	1	1	1000	0			0	0	0
wh2_dlc09_tech_tmb_tomb_prince_2			2	wh2_dlc09_tech_tmb_tomb_prince_2	tmb_mil	3	1	2500	0			0	0	0
wh2_dlc09_tech_tmb_tomb_prince_4			3	wh2_dlc09_tech_tmb_tomb_prince_4	tmb_mil	7	1	1000	0			0	0	0
wh2_dlc09_tech_tmb_tomb_prince_5			2	wh2_dlc09_tech_tmb_tomb_prince_5	tmb_mil	9	1	2500	0			0	0	0
