key	table_name
#twad_key_deletes_tables;0;db/twad_key_deletes_tables/zzz_cbfm_6_3_1_update	
1832882874	armed_citizenry_units_to_unit_groups_junctions
2063544858	armed_citizenry_units_to_unit_groups_junctions
1496284655	armed_citizenry_units_to_unit_groups_junctions
1811910639	armed_citizenry_units_to_unit_groups_junctions
wh3_main_minor_cult_purple_hand_4wh3_main_effect_army_ability_enable_arcane_surgeTzeentchCorruption50	building_effects_junction
wh3_main_minor_cult_purple_hand_8wh3_main_effect_army_ability_enable_arcane_surgeTzeentchCorruption50	building_effects_junction
wh3_main_minor_cult_purple_hand_1wh3_main_effect_army_ability_enable_arcane_surgeTzeentchCorruption50	building_effects_junction
wh3_main_minor_cult_purple_hand_6wh3_main_effect_army_ability_enable_arcane_surgeTzeentchCorruption50	building_effects_junction
wh3_main_minor_cult_purple_hand_5wh3_main_effect_army_ability_enable_arcane_surgeTzeentchCorruption50	building_effects_junction
wh3_main_minor_cult_purple_hand_2wh3_main_effect_army_ability_enable_arcane_surgeTzeentchCorruption50	building_effects_junction
wh3_main_minor_cult_purple_hand_3wh3_main_effect_army_ability_enable_arcane_surgeTzeentchCorruption50	building_effects_junction
wh3_main_minor_cult_purple_hand_7wh3_main_effect_army_ability_enable_arcane_surgeTzeentchCorruption50	building_effects_junction
1869316119	building_units_allowed
1592379555	building_units_allowed
186382691	building_units_allowed
1903553519	building_units_allowed
1805214249	building_units_allowed
wh2_main_skill_innate_def_spiteful1wh3_dlc24_effect_ability_enable_gait_of_thorns	character_skill_level_to_effects_junctions
wh2_main_skill_innate_lzd_arrogant1wh_main_effect_character_stat_charge_bonus_add	character_skill_level_to_effects_junctions
wh2_main_skill_innate_lzd_uncompromising1wh_main_effect_agent_defence_wound_chance_mod	character_skill_level_to_effects_junctions
wh2_main_skill_innate_lzd_uncompromising1wh_main_effect_agent_action_success_chance	character_skill_level_to_effects_junctions
wh3_main_skill_tmb_king_general_21wh_main_effect_attribute_enable_immune_to_psychology	character_skill_level_to_effects_junctions
wh_dlc08_skill_node_set_nor_shaman_sorcerer_metal_innate_01	character_skill_nodes
wh2_dlc14_skill_node_def_master_innate_04	character_skill_nodes
wh_dlc08_skill_node_set_nor_shaman_sorcerer_fire_innate_01	character_skill_nodes
wh_dlc08_skill_node_set_nor_fimir_balefiend_shadow_innate_01	character_skill_nodes
wh_dlc08_skill_node_set_nor_shaman_sorcerer_death_innate_01	character_skill_nodes
wh_dlc08_skill_node_set_nor_skin_wolf_werekin_innate_01	character_skill_nodes
wh_dlc08_skill_node_set_nor_marauder_chieftan_innate_01	character_skill_nodes
wh_main_skill_node_brt_champion_innate_06	character_skill_nodes
wh_dlc08_skill_node_set_nor_fimir_balefiend_fire_innate_01	character_skill_nodes
wh2_dlc13_skill_node_emp_hunter_rodrik_innate_06	character_skill_nodes
wh3_dlc24_effect_force_stat_ward_save_ksl_vs_corrupters_morathiunit_damage_resistance_all_modall_units	effect_bonus_value_ids_unit_sets
wh3_dlc24_effect_force_stat_ward_save_ksl_vs_corruptersunit_damage_resistance_all_modall_units	effect_bonus_value_ids_unit_sets
wh_main_character_abilities_deadly_onslaughtwh2_dlc14_brt_cha_henri_le_massif_0	land_units_to_unit_abilites_junctions
wh_main_character_abilities_deadly_onslaughtwh2_dlc14_brt_cha_henri_le_massif_3	land_units_to_unit_abilites_junctions
wh_main_character_abilities_deadly_onslaughtwh2_dlc14_brt_cha_henri_le_massif_4	land_units_to_unit_abilites_junctions
wh_main_character_abilities_deadly_onslaughtwh2_main_lzd_cha_kroq_gar_1	land_units_to_unit_abilites_junctions
wh_main_character_abilities_deadly_onslaughtwh2_main_lzd_cha_kroq_gar_3	land_units_to_unit_abilites_junctions
wh_main_character_abilities_deadly_onslaughtwh2_main_lzd_cha_kroq_gar_2	land_units_to_unit_abilites_junctions
wh_main_character_abilities_deadly_onslaughtwh2_main_lzd_cha_kroq_gar_0	land_units_to_unit_abilites_junctions
wh_main_character_abilities_deadly_onslaughtwh3_dlc25_nur_cha_skin_wolf_werekin_chieftain	land_units_to_unit_abilites_junctions
wh_main_character_abilities_deadly_onslaughtwh_dlc08_nor_cha_skin_wolf_werekin_0	land_units_to_unit_abilites_junctions
wh_main_character_abilities_deadly_onslaughtwh_main_brt_cha_paladin_0	land_units_to_unit_abilites_junctions
